No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
50,John Brown,SF,6-7,220,"December 14, 1951",de DE,6,Missouri
14,Charlie Criss,PG,5-8,165,"November 6, 1948",us US,2,New Mexico State
22,John Drew,SF,6-6,205,"September 30, 1954",us US,5,Gardner-Webb University
25,Terry Furlow,SG,6-4,190,"October 18, 1954",us US,3,Michigan State
21,Jack Givens,SF,6-5,205,"September 21, 1956",us US,1,Kentucky
10,Steve Hawes,PF,6-9,220,"May 26, 1950",us US,5,Washington
24,Armond Hill,PG,6-4,190,"March 31, 1953",us US,3,Princeton
3,Eddie Johnson,SG,6-2,180,"February 24, 1955",us US,2,Auburn
44,Ron Lee,PG,6-4,193,"November 2, 1952",us US,3,Oregon
33,Jim McElroy,PG,6-3,190,"October 4, 1953",us US,4,Central Michigan University
54,Tom McMillen,C,6-11,215,"May 26, 1952",us US,4,Maryland
41,Sam Pellom,PF,6-9,225,"October 2, 1951",us US,R,Buffalo
30,Tree Rollins,C,7-1,235,"June 16, 1955",us US,2,Clemson
32,Dan Roundfield,PF,6-8,205,"May 26, 1953",us US,4,Central Michigan University
42,Rick Wilson,SG,6-5,200,"February 7, 1956",us US,1,Louisville
