Rk,Player,Age,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1.0,Eddie Johnson,24.0,SG,5,37.6,7.6,14.8,0.514,0.0,0.0,,7.6,14.8,0.514,0.514,4.2,5.6,0.75,0.6,3.0,3.6,4.2,1.6,0.4,2.2,2.4,19.4,
2.0,Dan Roundfield,26.0,PF,5,34.8,6.4,13.8,0.464,0.0,0.2,0.0,6.4,13.6,0.471,0.464,4.4,7.0,0.629,5.0,6.6,11.6,2.2,0.8,1.6,2.2,4.4,17.2,
3.0,Charlie Criss,31.0,PG,5,30.4,5.8,11.8,0.492,0.2,0.6,0.333,5.6,11.2,0.5,0.5,2.2,2.4,0.917,0.0,1.0,1.0,4.4,1.2,0.0,2.2,2.4,14.0,
4.0,John Drew,25.0,SF,5,30.0,4.8,12.6,0.381,0.0,0.0,,4.8,12.6,0.381,0.381,5.0,7.0,0.714,2.0,4.0,6.0,0.8,1.4,0.0,2.4,4.2,14.6,
5.0,Steve Hawes,29.0,PF,5,29.8,3.6,8.2,0.439,0.0,0.0,,3.6,8.2,0.439,0.439,3.2,3.6,0.889,2.6,4.4,7.0,2.4,1.8,0.2,1.6,4.4,10.4,
6.0,Tree Rollins,24.0,C,5,26.8,3.6,6.2,0.581,0.0,0.0,,3.6,6.2,0.581,0.581,1.2,2.0,0.6,3.6,4.0,7.6,0.6,0.4,2.8,1.2,5.0,8.4,
7.0,Armond Hill,26.0,PG,5,21.8,2.4,6.0,0.4,0.0,0.2,0.0,2.4,5.8,0.414,0.4,2.2,2.4,0.917,0.4,0.8,1.2,3.0,0.8,0.2,2.2,2.8,7.0,
8.0,John Brown,28.0,SF,5,11.6,0.8,2.6,0.308,0.0,0.2,0.0,0.8,2.4,0.333,0.308,0.4,0.4,1.0,0.4,1.6,2.0,0.2,0.2,0.2,1.0,1.8,2.0,
9.0,Jack Givens,23.0,SF,4,9.0,0.8,3.5,0.214,0.0,0.0,,0.8,3.5,0.214,0.214,0.0,0.0,,0.3,1.0,1.3,0.8,0.5,0.0,0.8,1.8,1.5,
10.0,Jim McElroy,26.0,PG,5,6.4,0.8,1.8,0.444,0.0,0.2,0.0,0.8,1.6,0.5,0.444,0.8,1.0,0.8,0.2,0.2,0.4,0.8,0.0,0.0,0.4,0.2,2.4,
11.0,Sam Pellom,28.0,PF,4,4.5,0.0,0.8,0.0,0.0,0.0,,0.0,0.8,0.0,0.0,0.3,0.8,0.333,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.8,0.3,
,Team Totals,,,5,240.0,36.4,81.2,0.448,0.2,1.4,0.143,36.2,79.8,0.454,0.45,23.8,32.0,0.744,15.0,26.4,41.4,19.4,8.6,5.6,16.4,29.6,96.8,
