Rk,Player,Age,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Larry Bird,23,PF,9,372,8.0,17.1,0.469,0.4,1.5,0.267,7.6,15.7,0.488,0.48,2.1,2.4,0.88,2.1,7.6,9.8,4.1,1.4,0.8,3.2,2.9,18.6,
2,Tiny Archibald,31,PG,9,332,4.9,9.7,0.506,0.1,0.2,0.5,4.8,9.4,0.506,0.511,4.0,4.6,0.881,0.3,0.9,1.2,7.7,1.1,0.0,4.1,3.0,13.9,
3,Cedric Maxwell,24,SF,9,320,6.6,10.5,0.634,0.0,0.0,,6.6,10.5,0.634,0.634,5.2,6.9,0.754,3.5,6.6,10.1,2.1,0.6,1.1,2.5,2.8,18.5,
4,Dave Cowens,31,C,9,301,5.9,12.3,0.476,0.0,0.2,0.0,5.9,12.1,0.485,0.476,1.2,1.3,0.909,2.2,5.7,7.9,2.5,1.1,0.8,1.0,4.4,12.9,
5,Chris Ford,31,SG,9,279,4.4,10.2,0.43,0.3,1.7,0.154,4.1,8.5,0.485,0.443,1.5,1.9,0.8,1.2,2.1,3.2,2.7,1.8,0.8,1.7,4.5,10.6,
6,M.L. Carr,29,SF,9,172,6.7,16.7,0.4,0.4,1.0,0.4,6.3,15.7,0.4,0.413,3.3,5.0,0.667,2.9,4.0,6.9,2.3,1.3,0.2,1.5,4.2,17.2,
7,Rick Robey,24,C,9,151,5.7,12.6,0.453,0.0,0.2,0.0,5.7,12.4,0.462,0.453,1.7,3.3,0.5,3.1,4.5,7.6,2.4,1.7,0.7,1.9,6.4,13.1,
8,Pete Maravich,32,SG,9,104,8.7,17.7,0.49,0.7,2.1,0.333,8.0,15.6,0.511,0.51,0.7,1.0,0.667,0.0,2.8,2.8,2.1,1.0,0.0,3.1,4.2,18.7,
9,Gerald Henderson,24,PG,9,101,5.3,13.2,0.405,0.0,0.7,0.0,5.3,12.5,0.429,0.405,4.3,7.1,0.6,1.4,2.1,3.6,4.3,1.4,0.0,2.5,2.9,15.0,
10,Eric Fernsten,26,PF,5,18,4.0,12.0,0.333,0.0,0.0,,4.0,12.0,0.333,0.333,4.0,6.0,0.667,6.0,4.0,10.0,0.0,0.0,6.0,4.0,2.0,12.0,
11,Jeff Judkins,23,SF,7,10,14.4,28.8,0.5,3.6,10.8,0.333,10.8,18.0,0.6,0.563,0.0,0.0,,10.8,3.6,14.4,0.0,3.6,0.0,0.0,0.0,32.4,
