G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Opponent,Unnamed: 6,Unnamed: 7,Tm,Opp,W,L,Streak,Attend.,LOG,Notes
1,"Fri, Apr 26, 1991",,Box Score,,Indiana Pacers,W,,127,120,1,0,W 1,14890,2:21,
2,"Sun, Apr 28, 1991",,Box Score,,Indiana Pacers,L,,118,130,1,1,L 1,14890,2:20,
3,"Wed, May 1, 1991",,Box Score,@,Indiana Pacers,W,,112,105,2,1,W 1,16530,2:29,
4,"Fri, May 3, 1991",,Box Score,@,Indiana Pacers,L,,113,116,2,2,L 1,16530,2:18,
5,"Sun, May 5, 1991",,Box Score,,Indiana Pacers,W,,124,121,3,2,W 1,14890,2:36,
G,Date,,,,Opponent,,,Tm,Opp,W,L,Streak,Attend.,LOG,Notes
6,"Tue, May 7, 1991",,Box Score,,Detroit Pistons,L,,75,86,3,3,L 1,14890,2:05,
7,"Thu, May 9, 1991",,Box Score,,Detroit Pistons,W,,109,103,4,3,W 1,14896,2:16,
8,"Sat, May 11, 1991",,Box Score,@,Detroit Pistons,W,,115,83,5,3,W 2,21454,2:13,
9,"Mon, May 13, 1991",,Box Score,@,Detroit Pistons,L,,97,104,5,4,L 1,21454,2:09,
10,"Wed, May 15, 1991",,Box Score,,Detroit Pistons,L,,111,116,5,5,L 2,14890,2:18,
11,"Fri, May 17, 1991",,Box Score,@,Detroit Pistons,L,OT,113,117,5,6,L 3,21454,2:36,
