No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
20,Dennis Awtrey,C,6-10,235,"February 22, 1948",us US,9,Santa Clara
1,Del Beshore,PG,5-11,165,"November 29, 1956",us US,1,California University of Pennslyvania
55,Roger Brown,C,6-11,225,"February 23, 1950",us US,4,Kansas
26,Coby Dietrick,C,6-10,220,"July 23, 1948",us US,9,San Jose State
53,Artis Gilmore,C,7-2,240,"September 21, 1949",us US,8,"Gardner-Webb University, Jacksonville University"
34,Dave Greenwood,PF,6-9,222,"May 27, 1957",us US,R,UCLA
27,Ollie Johnson,SF,6-6,200,"May 11, 1949",us US,7,Temple
13,Dwight Jones,PF,6-10,210,"February 27, 1952",us US,6,Houston
54,Mark Landsberger,C,6-8,215,"May 21, 1955",us US,2,"Minnesota, Arizona State"
23,Ollie Mack,SG,6-3,185,"June 6, 1957",us US,R,East Carolina University
17,Scott May,SF,6-7,215,"March 19, 1954",us US,3,Indiana
15,John Mengelt,SG,6-2,195,"October 16, 1949",us US,8,Auburn
28,Sam Smith,SF,6-4,200,"January 8, 1955",us US,1,UNLV
40,Ricky Sobers,PG,6-3,198,"January 15, 1953",us US,4,UNLV
24,Reggie Theus,SG,6-6,190,"October 13, 1957",us US,1,UNLV
