Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1.0,Reggie Theus,22.0,SG,82,82.0,36.9,6.9,14.3,0.483,0.3,1.3,0.267,6.6,13.0,0.504,0.495,6.1,7.3,0.838,1.7,2.3,4.0,6.3,1.4,0.2,4.2,3.2,20.2,
2.0,Dave Greenwood,22.0,PF,82,82.0,34.0,6.1,12.8,0.474,0.0,0.1,0.143,6.1,12.7,0.476,0.474,4.1,5.1,0.81,2.7,6.7,9.4,2.2,0.7,1.6,2.6,3.8,16.3,
3.0,Artis Gilmore,30.0,C,48,,32.7,6.4,10.7,0.595,0.0,0.0,,6.4,10.7,0.595,0.595,5.1,7.2,0.712,2.3,6.8,9.0,2.8,0.6,1.2,2.8,3.5,17.8,
4.0,Ricky Sobers,27.0,PG,82,82.0,32.6,5.7,12.2,0.469,0.3,0.8,0.309,5.5,11.4,0.481,0.48,2.4,2.9,0.837,0.9,2.0,3.0,5.2,1.7,0.2,3.4,3.6,14.2,
5.0,Scott May,25.0,SF,54,,24.0,4.9,10.9,0.45,0.0,0.1,0.0,4.9,10.8,0.453,0.45,2.7,3.2,0.837,1.4,2.6,4.0,1.9,0.8,0.1,1.4,2.3,12.4,
6.0,Coby Dietrick,31.0,C,79,,23.2,2.9,6.3,0.454,0.0,0.1,0.111,2.9,6.2,0.46,0.455,1.1,1.5,0.763,1.3,3.3,4.6,2.7,1.1,0.6,1.4,2.9,6.9,
7.0,Ollie Mack,22.0,SG,23,,22.9,3.3,6.5,0.517,0.0,0.2,0.0,3.3,6.3,0.531,0.517,1.3,1.4,0.879,1.1,1.0,2.1,1.4,0.9,0.1,1.1,1.5,8.0,
8.0,Dwight Jones,27.0,PF,53,,22.1,3.9,7.3,0.535,0.0,0.0,,3.9,7.3,0.535,0.535,2.2,3.1,0.721,1.6,4.0,5.6,1.7,0.5,0.7,1.9,3.0,10.1,
9.0,Dennis Awtrey,31.0,C,26,,21.5,1.0,2.3,0.45,0.0,0.0,,1.0,2.3,0.45,0.45,1.2,1.9,0.64,1.1,3.3,4.4,1.5,0.5,0.6,1.0,2.5,3.3,
10.0,Mark Landsberger,24.0,C,54,,21.0,3.4,6.4,0.529,0.0,0.0,,3.4,6.4,0.529,0.529,1.6,3.1,0.524,2.9,5.4,8.3,0.6,0.4,0.3,1.4,2.1,8.4,
11.0,Ollie Johnson,30.0,SF,79,,19.4,3.3,6.7,0.497,0.0,0.1,0.091,3.3,6.5,0.506,0.498,1.0,1.2,0.882,0.6,1.4,2.1,2.0,0.7,0.3,1.2,2.1,7.7,
12.0,Sam Smith,25.0,SF,30,,16.5,3.2,7.7,0.422,0.3,1.2,0.229,3.0,6.5,0.456,0.439,1.9,2.1,0.905,0.7,1.1,1.8,1.4,0.8,0.2,1.1,1.8,8.6,
13.0,Del Beshore,23.0,PG,68,,12.8,1.3,3.7,0.352,0.1,0.4,0.385,1.1,3.3,0.348,0.372,0.9,1.3,0.667,0.2,0.7,0.9,2.0,0.9,0.1,1.5,1.5,3.6,
14.0,John Mengelt,30.0,SG,36,,10.8,2.5,4.6,0.542,0.0,0.2,0.0,2.5,4.4,0.563,0.542,1.1,1.4,0.796,0.1,0.6,0.6,1.1,0.3,0.0,1.0,1.5,6.1,
15.0,Roger Brown,29.0,C,4,,9.3,0.3,0.8,0.333,0.0,0.0,,0.3,0.8,0.333,0.333,0.0,0.0,,0.5,2.0,2.5,0.3,0.0,0.8,0.0,1.0,0.5,
,Team Totals,,,82,82.0,242.7,41.0,84.7,0.484,0.9,3.4,0.255,40.1,81.3,0.494,0.489,24.6,31.6,0.779,13.6,30.1,43.7,26.2,8.6,4.8,20.5,26.2,107.5,
