G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Opponent,Unnamed: 6,Unnamed: 7,Tm,Opp,W,L,Streak,Attend.,LOG,Notes
1,"Fri, Nov 3, 1989",,Box Score,,Cleveland Cavaliers,W,OT,124,119,1,0,W 1,18676,,
2,"Sat, Nov 4, 1989",,Box Score,,Boston Celtics,L,,100,102,1,1,L 1,18676,2:08,
3,"Tue, Nov 7, 1989",,Box Score,,Detroit Pistons,W,,117,114,2,1,W 1,18676,,
4,"Wed, Nov 8, 1989",,Box Score,@,Minnesota Timberwolves,W,,96,84,3,1,W 2,35427,,
5,"Fri, Nov 10, 1989",,Box Score,@,New Jersey Nets,L,,107,117,3,2,L 1,20049,,
6,"Sat, Nov 11, 1989",,Box Score,,Seattle SuperSonics,W,,109,102,4,2,W 1,16676,,
7,"Tue, Nov 14, 1989",,Box Score,@,Sacramento Kings,W,,96,94,5,2,W 2,17014,,
8,"Wed, Nov 15, 1989",,Box Score,@,Utah Jazz,L,,107,108,5,3,L 1,12616,,
9,"Sat, Nov 18, 1989",,Box Score,@,Seattle SuperSonics,L,,110,119,5,4,L 2,14708,,
10,"Tue, Nov 21, 1989",,Box Score,@,Portland Trail Blazers,L,,110,121,5,5,L 3,12884,,
11,"Wed, Nov 22, 1989",,Box Score,@,Phoenix Suns,W,,95,90,6,5,W 1,14487,,
12,"Sat, Nov 25, 1989",,Box Score,@,Golden State Warriors,W,,104,91,7,5,W 2,15025,,
13,"Sun, Nov 26, 1989",,Box Score,@,Los Angeles Clippers,L,,96,120,7,6,L 1,15350,,
14,"Tue, Nov 28, 1989",,Box Score,,Atlanta Hawks,W,,113,98,8,6,W 1,18676,,
15,"Sat, Dec 2, 1989",,Box Score,@,Miami Heat,W,,114,107,9,6,W 2,15008,,
16,"Tue, Dec 5, 1989",,Box Score,,Denver Nuggets,W,,119,99,10,6,W 3,18040,,
17,"Fri, Dec 8, 1989",,Box Score,@,Indiana Pacers,L,,104,106,10,7,L 1,16912,,
18,"Sat, Dec 9, 1989",,Box Score,,Philadelphia 76ers,W,,125,105,11,7,W 1,18655,,
19,"Tue, Dec 12, 1989",,Box Score,,Dallas Mavericks,W,,105,97,12,7,W 2,17611,,
20,"Thu, Dec 14, 1989",,Box Score,,Orlando Magic,W,,124,113,13,7,W 3,17621,,
G,Date,,,,Opponent,,,Tm,Opp,W,L,Streak,Attend.,LOG,Notes
21,"Sat, Dec 16, 1989",,Box Score,,Charlotte Hornets,W,,115,104,14,7,W 4,17930,,
22,"Tue, Dec 19, 1989",,Box Score,,Los Angeles Lakers,W,,93,83,15,7,W 5,18676,,
23,"Wed, Dec 20, 1989",,Box Score,@,Orlando Magic,L,,109,110,15,8,L 1,15077,,
24,"Fri, Dec 22, 1989",,Box Score,@,Atlanta Hawks,W,,125,113,16,8,W 1,16371,,
25,"Sat, Dec 23, 1989",,Box Score,@,Philadelphia 76ers,L,,104,131,16,9,L 1,18166,,
26,"Tue, Dec 26, 1989",,Box Score,,Minnesota Timberwolves,W,,112,99,17,9,W 1,18676,,
27,"Fri, Dec 29, 1989",,Box Score,,San Antonio Spurs,W,,101,97,18,9,W 2,18676,,
28,"Sat, Dec 30, 1989",,Box Score,@,Washington Bullets,W,OT,117,112,19,9,W 3,18756,,
29,"Wed, Jan 3, 1990",,Box Score,@,Cleveland Cavaliers,W,,93,87,20,9,W 4,19938,,
30,"Fri, Jan 5, 1990",,Box Score,,Orlando Magic,W,,127,116,21,9,W 5,18676,,
31,"Sat, Jan 6, 1990",,Box Score,@,Milwaukee Bucks,L,,111,118,21,10,L 1,18633,2:02,
32,"Tue, Jan 9, 1990",,Box Score,@,Detroit Pistons,L,,90,100,21,11,L 2,21454,,
33,"Wed, Jan 10, 1990",,Box Score,@,Indiana Pacers,L,,113,120,21,12,L 3,16912,,
34,"Fri, Jan 12, 1990",,Box Score,@,Charlotte Hornets,W,,107,95,22,12,W 1,23901,,
35,"Sat, Jan 13, 1990",,Box Score,,Los Angeles Clippers,W,,117,111,23,12,W 2,18676,,
36,"Mon, Jan 15, 1990",,Box Score,@,New York Knicks,L,,106,109,23,13,L 1,18212,,
37,"Thu, Jan 18, 1990",,Box Score,,Golden State Warriors,W,,132,107,24,13,W 1,18676,,
38,"Fri, Jan 19, 1990",,Box Score,@,Atlanta Hawks,W,,92,84,25,13,W 2,16371,,
39,"Sun, Jan 21, 1990",,Box Score,,New York Knicks,W,,117,109,26,13,W 3,18676,,
40,"Tue, Jan 23, 1990",,Box Score,,Detroit Pistons,L,,95,107,26,14,L 1,18676,,
G,Date,,,,Opponent,,,Tm,Opp,W,L,Streak,Attend.,LOG,Notes
41,"Fri, Jan 26, 1990",,Box Score,@,Philadelphia 76ers,L,,109,120,26,15,L 2,18168,,
42,"Sat, Jan 27, 1990",,Box Score,,New Jersey Nets,W,,110,107,27,15,W 1,18676,,
43,"Mon, Jan 29, 1990",,Box Score,,Atlanta Hawks,W,,121,111,28,15,W 2,18478,,
44,"Thu, Feb 1, 1990",,Box Score,@,Houston Rockets,L,,112,139,28,16,L 1,16616,,
45,"Sat, Feb 3, 1990",,Box Score,@,San Antonio Spurs,L,,111,112,28,17,L 2,15910,,
46,"Wed, Feb 7, 1990",,Box Score,@,Los Angeles Lakers,L,,103,121,28,18,L 3,17505,,
47,"Thu, Feb 8, 1990",,Box Score,@,Denver Nuggets,L,,98,123,28,19,L 4,17022,,
48,"Tue, Feb 13, 1990",,Box Score,@,Miami Heat,W,,107,95,29,19,W 1,15008,,
49,"Wed, Feb 14, 1990",,Box Score,@,Orlando Magic,L,OT,129,135,29,20,L 1,15077,,
50,"Fri, Feb 16, 1990",,Box Score,,Miami Heat,W,,119,105,30,20,W 1,18097,,
51,"Sun, Feb 18, 1990",,Box Score,@,Milwaukee Bucks,W,,111,88,31,20,W 2,18633,2:08,
52,"Mon, Feb 19, 1990",,Box Score,,Houston Rockets,W,,107,102,32,20,W 3,18025,,
53,"Fri, Feb 23, 1990",,Box Score,,Portland Trail Blazers,W,,113,102,33,20,W 4,18543,,
54,"Sun, Feb 25, 1990",,Box Score,@,New Jersey Nets,W,OT,107,106,34,20,W 5,20049,,
55,"Tue, Feb 27, 1990",,Box Score,,Milwaukee Bucks,W,,106,96,35,20,W 6,18050,2:12,
56,"Fri, Mar 2, 1990",,Box Score,,New Jersey Nets,W,,112,91,36,20,W 7,19077,,
57,"Sun, Mar 4, 1990",,Box Score,@,Boston Celtics,W,,118,114,37,20,W 8,14890,2:22,
58,"Tue, Mar 6, 1990",,Box Score,@,Milwaukee Bucks,W,,114,105,38,20,W 9,18633,2:01,
59,"Thu, Mar 8, 1990",,Box Score,,Utah Jazz,L,,94,98,38,21,L 1,18332,,
60,"Sat, Mar 10, 1990",,Box Score,,Indiana Pacers,W,,117,105,39,21,W 1,18676,,
G,Date,,,,Opponent,,,Tm,Opp,W,L,Streak,Attend.,LOG,Notes
61,"Tue, Mar 13, 1990",,Box Score,@,New York Knicks,W,,111,108,40,21,W 2,18212,,
62,"Fri, Mar 16, 1990",,Box Score,,Detroit Pistons,L,,81,106,40,22,L 1,18676,,
63,"Sat, Mar 17, 1990",,Box Score,,Philadelphia 76ers,W,,114,109,41,22,W 1,18676,,
64,"Tue, Mar 20, 1990",,Box Score,,Washington Bullets,W,,122,97,42,22,W 2,18373,,
65,"Wed, Mar 21, 1990",,Box Score,@,Atlanta Hawks,W,,99,89,43,22,W 3,16371,,
66,"Fri, Mar 23, 1990",,Box Score,,Cleveland Cavaliers,W,,102,95,44,22,W 4,18584,,
67,"Sat, Mar 24, 1990",,Box Score,,Sacramento Kings,L,,113,116,44,23,L 1,18334,,
68,"Mon, Mar 26, 1990",,Box Score,,Phoenix Suns,W,,121,92,45,23,W 1,17884,,
69,"Wed, Mar 28, 1990",,Box Score,@,Cleveland Cavaliers,W,OT,117,113,46,23,W 2,20273,2:43,
70,"Fri, Mar 30, 1990",,Box Score,,New York Knicks,W,OT,107,106,47,23,W 3,18676,,
71,"Sun, Apr 1, 1990",,Box Score,,Miami Heat,W,,111,103,48,23,W 4,18263,,
72,"Tue, Apr 3, 1990",,Box Score,,Indiana Pacers,W,,109,102,49,23,W 5,17763,,
73,"Thu, Apr 5, 1990",,Box Score,,Orlando Magic,W,,111,104,50,23,W 6,17843,,
74,"Sat, Apr 7, 1990",,Box Score,@,Dallas Mavericks,W,,109,108,51,23,W 7,17007,,
75,"Wed, Apr 11, 1990",,Box Score,,Cleveland Cavaliers,W,,107,86,52,23,W 8,18139,,
76,"Fri, Apr 13, 1990",,Box Score,,Milwaukee Bucks,W,,116,106,53,23,W 9,18676,1:58,
77,"Sat, Apr 14, 1990",,Box Score,@,Washington Bullets,L,,103,113,53,24,L 1,18756,,
78,"Mon, Apr 16, 1990",,Box Score,@,Indiana Pacers,L,,102,111,53,25,L 2,16912,,
79,"Tue, Apr 17, 1990",,Box Score,,Boston Celtics,W,,111,105,54,25,W 1,18676,2:05,
80,"Thu, Apr 19, 1990",,Box Score,,Washington Bullets,W,,120,117,55,25,W 2,18402,,
G,Date,,,,Opponent,,,Tm,Opp,W,L,Streak,Attend.,LOG,Notes
81,"Fri, Apr 20, 1990",,Box Score,@,Boston Celtics,L,,116,120,55,26,L 1,14890,2:09,
82,"Sun, Apr 22, 1990",,Box Score,@,Detroit Pistons,L,,106,111,55,27,L 2,21454,,
