No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
34,Austin Carr,SG,6-4,200,"March 10, 1948",us US,8,Notre Dame
2,Kenny Carr,PF,6-7,220,"August 15, 1955",us US,2,NC State
35,Don Ford,SF,6-9,215,"December 31, 1952",us US,4,"New Mexico, UC Santa Barbara"
11,Walt Frazier,PG,6-4,200,"March 29, 1945",us US,12,Southern Illinois
24,John Lambert,PF,6-10,225,"January 14, 1953",us US,4,USC
15,Butch Lee,PG,6-0,185,"December 5, 1956",pr PR,1,Marquette
30,Mike Mitchell,SF,6-7,215,"January 1, 1956",us US,1,Auburn
25,Dave Robisch,C,6-10,235,"December 22, 1949",us US,8,Kansas
21,Campy Russell,SF,6-8,215,"January 12, 1952",us US,5,Michigan
7,Bingo Smith,SG,6-5,195,"February 26, 1946",us US,10,Tulsa
9,Randy Smith,SG,6-3,180,"December 12, 1948",us US,8,Buffalo State
11,Willie Smith,PG,6-2,170,"October 26, 1953",us US,3,Missouri
43,Earl Tatum,SG,6-5,185,"July 26, 1953",us US,3,Marquette
14,Foots Walker,PG,6-0,184,"May 21, 1951",us US,5,"Vincennes University, West Georgia"
33,Bill Willoughby,SF,6-8,205,"May 20, 1957",us US,3,
