Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Dan Issel,31,C,82,82.0,2938,8.8,17.4,0.505,0.0,0.1,0.333,8.7,17.2,0.506,0.506,6.3,8.2,0.775,2.9,5.9,8.8,2.4,1.1,0.7,2.0,2.3,23.9,
2,Bob Wilkerson,25,SF,75,,2381,6.5,15.6,0.417,0.1,0.5,0.206,6.4,15.1,0.425,0.421,2.5,3.4,0.748,1.3,3.5,4.8,3.7,1.4,0.4,2.9,2.9,15.6,
3,John Roche,30,PG,82,,2286,5.6,11.7,0.478,0.8,2.0,0.38,4.8,9.6,0.498,0.511,2.8,3.2,0.866,0.4,1.4,1.8,6.4,1.3,0.2,2.5,2.2,14.7,
4,George Johnson,23,PF,75,,1938,5.7,12.1,0.476,0.0,0.2,0.222,5.7,11.9,0.48,0.478,2.7,3.5,0.783,3.5,7.3,10.8,2.9,1.6,1.2,2.7,4.8,14.3,
5,Charlie Scott,31,SG,69,,1860,5.3,13.3,0.401,0.0,0.2,0.182,5.3,13.1,0.405,0.403,1.6,2.3,0.72,1.0,2.2,3.2,4.8,0.9,0.4,3.2,3.8,12.4,
6,George McGinnis,29,PF,45,,1424,6.8,14.8,0.459,0.0,0.2,0.143,6.8,14.6,0.463,0.46,4.2,7.8,0.541,3.4,8.3,11.7,5.6,1.7,0.4,4.8,4.7,17.8,
7,David Thompson,25,SG,39,,1239,8.4,17.9,0.468,0.2,0.6,0.368,8.2,17.4,0.472,0.474,7.4,9.7,0.758,1.6,3.4,5.1,3.6,1.1,1.1,3.4,3.1,24.4,
8,Kim Hughes,27,C,70,,1208,3.0,6.0,0.505,0.0,0.0,,3.0,6.0,0.505,0.505,0.4,1.2,0.366,3.7,6.0,9.7,2.2,2.0,2.3,1.5,5.5,6.5,
9,Gary Garland,22,PG,78,,1106,5.0,11.6,0.435,0.2,0.6,0.316,4.8,11.0,0.442,0.444,0.6,0.8,0.692,1.6,2.9,4.5,4.7,1.8,0.1,2.4,2.6,10.9,
10,Glen Gondrezick,24,SF,59,,1020,5.2,10.1,0.517,0.1,0.2,0.333,5.2,9.9,0.521,0.521,3.2,4.3,0.76,3.8,5.4,9.1,2.9,2.4,0.6,2.0,4.2,13.8,
11,Alex English,26,SF,24,,875,8.5,17.6,0.485,0.1,0.1,0.667,8.4,17.4,0.483,0.487,3.9,5.2,0.762,4.2,5.1,9.3,3.4,1.2,1.2,3.7,3.2,21.1,
12,Tom Boswell,26,PF,18,,522,5.0,9.3,0.533,0.1,0.1,0.5,4.9,9.2,0.534,0.537,4.0,4.8,0.829,2.8,5.1,7.9,3.2,0.3,0.6,2.7,3.9,14.0,
13,Bo Ellis,25,PF,48,,502,4.4,9.8,0.449,0.0,0.2,0.0,4.4,9.5,0.459,0.449,2.9,3.8,0.755,3.7,4.7,8.3,2.2,0.7,1.7,1.7,4.8,11.6,
14,Anthony Roberts,24,SF,23,,486,5.1,13.4,0.381,0.0,0.1,0.0,5.1,13.3,0.383,0.381,2.9,4.4,0.65,4.0,4.1,8.1,1.5,1.0,0.2,2.1,3.9,13.1,
15,Arvid Kramer,23,C,8,,45,5.6,17.6,0.318,0.0,0.0,,5.6,17.6,0.318,0.318,1.6,1.6,1.0,4.8,4.8,9.6,2.4,0.0,4.0,4.0,6.4,12.8,
