No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
54,Kent Benson,C,6-11,245,"December 27, 1954",us US,2,Indiana
13,Leon Douglas,C,6-10,230,"August 26, 1954",us US,3,Alabama
42,Terry Duerod,SG,6-2,180,"July 29, 1956",us US,R,Detroit Mercy
21,Earl Evans,PF,6-8,202,"November 11, 1955",us US,R,"USC, UNLV"
24,Roy Hamilton,PG,6-2,180,"July 20, 1957",us US,R,UCLA
35,Phil Hubbard,PF,6-8,215,"December 13, 1956",us US,R,Michigan
32,Greg Kelser,SF,6-7,190,"September 17, 1957",us US,R,Michigan State
16,Bob Lanier,C,6-11,250,"September 10, 1948",us US,9,St. Bonaventure
30,Ron Lee,PG,6-4,193,"November 2, 1952",us US,3,Oregon
25,John Long,SG,6-5,195,"August 28, 1956",us US,1,Detroit Mercy
44,Steve Malovic,PF,6-10,230,"July 21, 1956",us US,R,"USC, San Diego State"
11,Bob McAdoo,PF,6-9,210,"September 25, 1951",us US,7,"Vincennes University, UNC"
33,Jim McElroy,PG,6-3,190,"October 4, 1953",us US,4,Central Michigan University
14,Eric Money,SG,6-0,170,"February 6, 1955",us US,5,Arizona
"9, 30",Jackie Robinson,SF,6-6,210,"May 20, 1955",us US,1,UNLV
34,John Shumate,PF,6-9,235,"April 6, 1952",us US,3,Notre Dame
41,Terry Tyler,SF,6-7,215,"October 30, 1956",us US,1,Detroit Mercy
