Rk,Player,Age,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Terry Tyler,23,SF,82,2670,5.8,12.5,0.465,0.0,0.2,0.167,5.8,12.3,0.469,0.466,1.9,2.5,0.765,3.1,5.4,8.5,1.7,1.4,3.0,2.4,3.2,13.6,
2,John Long,23,SG,69,2364,9.0,17.7,0.505,0.0,0.2,0.083,8.9,17.5,0.51,0.506,2.4,3.0,0.825,2.3,2.8,5.1,3.1,2.0,0.4,3.1,3.4,20.4,
3,Bob McAdoo,28,PF,58,2097,8.4,17.6,0.48,0.1,0.4,0.125,8.4,17.2,0.489,0.481,4.0,5.5,0.73,1.7,6.3,8.0,3.4,1.3,1.1,4.1,3.1,21.0,
4,Leon Douglas,25,C,70,1782,4.5,9.2,0.486,0.0,0.0,0.0,4.5,9.2,0.487,0.486,2.5,3.7,0.676,3.5,6.7,10.1,2.4,0.6,1.3,2.6,5.0,11.5,
5,Eric Money,24,SG,55,1467,6.4,12.5,0.508,0.0,0.0,,6.4,12.5,0.508,0.508,2.0,2.6,0.779,0.7,1.7,2.4,5.8,1.3,0.2,3.5,3.3,14.7,
6,Bob Lanier,31,C,37,1392,8.2,15.1,0.546,0.0,0.1,0.0,8.2,15.0,0.551,0.546,4.2,5.4,0.781,2.8,6.9,9.6,3.2,1.0,1.6,2.9,3.4,20.7,
7,Terry Duerod,23,SG,67,1331,7.6,16.2,0.472,0.4,1.4,0.283,7.2,14.7,0.49,0.484,1.2,1.8,0.682,0.8,1.9,2.7,3.2,1.1,0.3,2.1,2.8,16.9,
8,Greg Kelser,22,SF,50,1233,8.2,17.3,0.472,0.1,0.4,0.2,8.1,16.9,0.479,0.475,4.3,5.9,0.719,3.6,4.4,8.1,3.2,1.8,1.0,4.1,5.1,20.7,
9,Phil Hubbard,23,PF,64,1189,6.4,13.7,0.466,0.0,0.1,0.0,6.4,13.6,0.468,0.466,5.0,6.7,0.75,3.5,6.2,9.7,2.1,1.5,0.3,3.6,6.1,17.7,
10,Roy Hamilton,22,PG,72,1116,3.7,9.3,0.401,0.0,0.1,0.0,3.7,9.2,0.404,0.401,3.3,4.8,0.687,1.5,2.0,3.5,6.2,1.5,0.2,3.8,2.6,10.7,
11,Jim McElroy,26,PG,36,1012,5.8,12.7,0.455,0.1,0.5,0.214,5.7,12.2,0.465,0.459,3.4,4.2,0.798,0.4,1.4,1.8,5.8,0.9,0.5,3.1,2.8,15.0,
12,Ron Lee,27,PG,31,803,3.8,9.6,0.393,1.0,2.5,0.393,2.8,7.1,0.392,0.444,1.6,2.4,0.66,1.3,2.7,4.0,7.8,3.8,0.6,3.0,4.8,10.1,
13,Kent Benson,25,C,17,502,6.2,13.4,0.46,0.1,0.3,0.25,6.1,13.1,0.464,0.463,2.4,3.2,0.75,2.2,6.5,8.6,3.7,1.4,1.3,3.7,4.9,14.8,
14,Earl Evans,24,PF,36,381,6.0,13.2,0.45,0.7,1.7,0.389,5.3,11.5,0.459,0.475,2.3,4.0,0.571,2.5,4.6,7.1,3.5,1.3,0.1,3.4,6.0,14.8,
15,John Shumate,27,PF,9,228,5.5,10.3,0.538,0.0,0.0,,5.5,10.3,0.538,0.538,2.7,3.9,0.68,2.8,8.2,11.1,1.4,1.4,0.8,2.2,2.5,13.7,
16,Steve Malovic,23,PF,10,162,1.8,5.6,0.32,0.0,0.0,,1.8,5.6,0.32,0.32,2.2,3.1,0.714,2.0,4.2,6.2,3.1,0.4,1.1,2.0,3.6,5.8,
17,Jackie Robinson,24,SF,7,51,6.4,12.0,0.529,0.0,0.7,0.0,6.4,11.3,0.563,0.529,6.4,7.8,0.818,2.1,1.4,3.5,0.0,2.1,2.1,1.4,5.6,19.1,
