G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Opponent,Unnamed: 6,Unnamed: 7,Tm,Opp,W,L,Streak,Attend.,LOG,Notes
1,"Thu, Apr 26, 1990",,Box Score,,Indiana Pacers,W,,104,92,1,0,W 1,21454,2:00,
2,"Sat, Apr 28, 1990",,Box Score,,Indiana Pacers,W,,100,87,2,0,W 2,21454,2:17,
3,"Tue, May 1, 1990",,Box Score,@,Indiana Pacers,W,,108,96,3,0,W 3,15301,2:05,
G,Date,,,,Opponent,,,Tm,Opp,W,L,Streak,Attend.,LOG,Notes
4,"Tue, May 8, 1990",,Box Score,,New York Knicks,W,,112,77,4,0,W 4,21454,1:58,
5,"Thu, May 10, 1990",,Box Score,,New York Knicks,W,,104,97,5,0,W 5,21454,2:01,
6,"Sat, May 12, 1990",,Box Score,@,New York Knicks,L,,103,111,5,1,L 1,18212,2:29,
7,"Sun, May 13, 1990",,Box Score,@,New York Knicks,W,,102,90,6,1,W 1,18212,2:22,
8,"Tue, May 15, 1990",,Box Score,,New York Knicks,W,,95,84,7,1,W 2,21454,2:03,
G,Date,,,,Opponent,,,Tm,Opp,W,L,Streak,Attend.,LOG,Notes
9,"Sun, May 20, 1990",,Box Score,,Chicago Bulls,W,,86,77,8,1,W 3,21454,2:21,
10,"Tue, May 22, 1990",,Box Score,,Chicago Bulls,W,,102,93,9,1,W 4,21454,2:27,
11,"Sat, May 26, 1990",,Box Score,@,Chicago Bulls,L,,102,107,9,2,L 1,18676,2:32,
12,"Mon, May 28, 1990",,Box Score,@,Chicago Bulls,L,,101,108,9,3,L 2,18676,2:40,
13,"Wed, May 30, 1990",,Box Score,,Chicago Bulls,W,,97,83,10,3,W 1,21454,2:11,
14,"Fri, Jun 1, 1990",,Box Score,@,Chicago Bulls,L,,91,109,10,4,L 1,18676,2:23,
15,"Sun, Jun 3, 1990",,Box Score,,Chicago Bulls,W,,93,74,11,4,W 1,21454,2:11,
G,Date,,,,Opponent,,,Tm,Opp,W,L,Streak,Attend.,LOG,Notes
16,"Tue, Jun 5, 1990",,Box Score,,Portland Trail Blazers,W,,105,99,12,4,W 2,21454,2:35,
17,"Thu, Jun 7, 1990",,Box Score,,Portland Trail Blazers,L,OT,105,106,12,5,L 1,21454,3:14,
18,"Sun, Jun 10, 1990",,Box Score,@,Portland Trail Blazers,W,,121,106,13,5,W 1,12884,2:32,
19,"Tue, Jun 12, 1990",,Box Score,@,Portland Trail Blazers,W,,112,109,14,5,W 2,12642,2:43,
20,"Thu, Jun 14, 1990",,Box Score,@,Portland Trail Blazers,W,,92,90,15,5,W 3,12642,2:30,
