Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Sonny Parker,24,SF,82,82.0,2849,6.1,12.5,0.489,0.0,0.0,0.0,6.1,12.5,0.49,0.489,3.0,3.8,0.785,2.1,3.8,5.9,3.2,2.2,0.4,2.1,2.5,15.2,
2,John Lucas,26,PG,80,,2763,5.1,10.8,0.467,0.2,0.5,0.286,4.9,10.3,0.477,0.475,2.9,3.8,0.768,0.8,2.1,2.9,7.8,1.8,0.0,2.4,2.6,13.2,
3,Robert Parish,26,C,72,,2119,8.7,17.1,0.507,0.0,0.0,0.0,8.7,17.1,0.507,0.507,3.4,4.8,0.715,4.2,9.1,13.3,2.1,1.0,2.0,3.8,4.2,20.8,
4,Jo Jo White,33,PG,78,,2052,5.9,12.4,0.476,0.0,0.1,0.167,5.9,12.3,0.479,0.477,1.7,2.0,0.851,0.7,2.4,3.2,4.2,1.5,0.2,2.8,3.3,13.5,
5,Wayne Cooper,23,PF,79,,1781,7.4,15.2,0.489,0.0,0.1,0.25,7.4,15.1,0.491,0.49,2.7,3.7,0.751,4.1,6.2,10.2,0.8,0.4,1.6,2.8,5.0,17.6,
6,Clifford Ray,31,C,81,,1683,4.3,8.2,0.53,0.0,0.0,0.0,4.3,8.1,0.533,0.53,1.8,3.2,0.564,2.6,7.4,10.0,3.9,1.1,0.7,3.3,5.7,10.5,
7,Purvis Short,22,SF,62,,1636,10.1,20.2,0.503,0.0,0.1,0.0,10.1,20.0,0.507,0.503,2.9,3.6,0.812,2.6,4.3,7.0,2.7,1.4,0.2,2.7,4.1,23.2,
8,Phil Smith,27,SG,51,,1552,7.5,15.9,0.474,0.2,0.5,0.318,7.4,15.4,0.48,0.48,3.1,4.0,0.789,0.6,2.7,3.4,4.3,1.4,0.3,2.8,3.6,18.4,
9,Tom Abernethy,25,PF,67,,1222,4.5,9.4,0.481,0.0,0.0,0.0,4.5,9.3,0.483,0.481,1.6,2.4,0.683,1.8,3.8,5.6,2.6,1.0,0.4,1.1,3.5,10.7,
10,Raymond Townsend,24,SG,75,,1159,5.3,13.1,0.406,0.1,0.8,0.154,5.2,12.3,0.423,0.411,1.9,2.6,0.714,1.0,1.7,2.8,3.6,1.9,0.1,2.0,3.5,12.6,
11,Darnell Hillman,30,PF,49,,708,4.2,9.1,0.458,0.0,0.0,,4.2,9.1,0.458,0.458,1.7,3.5,0.5,3.0,6.2,9.2,2.4,1.1,1.2,3.0,6.5,10.1,
12,John Coughran,28,SF,24,,160,6.5,18.2,0.358,0.5,2.0,0.222,6.1,16.2,0.375,0.37,1.8,3.2,0.571,0.5,3.8,4.3,2.7,1.6,0.2,2.9,5.4,15.3,
13,Bubba Wilson,24,SG,16,,143,1.8,6.3,0.28,0.0,0.0,,1.8,6.3,0.28,0.28,0.8,1.5,0.5,1.5,2.5,4.0,3.0,0.5,0.0,2.0,2.8,4.3,
14,Cheese Johnson,22,SF,9,,53,8.2,20.4,0.4,0.0,0.0,,8.2,20.4,0.4,0.4,2.0,3.4,0.6,4.1,5.4,9.5,1.4,0.7,0.0,2.7,7.5,18.3,
