Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1.0,Moses Malone,24.0,C,82,82.0,38.3,9.5,18.9,0.502,0.0,0.1,0.0,9.5,18.8,0.504,0.502,6.9,9.5,0.719,7.0,7.5,14.5,1.8,1.0,1.3,3.7,2.6,25.8,"MVP-9,AS,NBA2"
2.0,Calvin Murphy,31.0,SG,76,,35.2,8.2,16.7,0.493,0.0,0.3,0.04,8.2,16.3,0.502,0.493,3.6,4.0,0.897,0.9,1.1,2.0,3.9,1.9,0.1,2.1,3.5,20.0,
3.0,Robert Reid,24.0,SF,76,,30.3,5.5,11.3,0.487,0.0,0.0,0.0,5.5,11.3,0.488,0.487,2.0,2.7,0.736,1.8,4.0,5.8,3.2,1.7,0.8,2.2,3.7,13.0,
4.0,Rudy Tomjanovich,31.0,PF,62,,29.6,6.0,12.5,0.476,0.4,1.3,0.278,5.6,11.3,0.498,0.49,1.9,2.4,0.803,2.1,3.6,5.8,1.8,0.5,0.2,1.6,2.6,14.2,
5.0,Allen Leavell,22.0,PG,77,,27.6,4.3,8.5,0.503,0.0,0.2,0.158,4.2,8.3,0.513,0.505,2.3,2.9,0.814,0.7,1.6,2.4,5.4,1.6,0.4,2.7,2.6,10.9,
6.0,Billy Paultz,31.0,C,37,,26.5,3.7,7.9,0.473,0.0,0.0,,3.7,7.9,0.473,0.473,1.2,2.2,0.524,2.5,4.7,7.2,1.9,0.6,1.1,1.5,2.3,8.6,
7.0,Rick Barry,35.0,SF,72,,25.2,4.5,10.7,0.422,1.0,3.1,0.33,3.5,7.6,0.458,0.469,2.0,2.1,0.935,0.7,2.5,3.3,3.7,1.1,0.4,2.1,2.5,12.0,
8.0,Tom Henderson,28.0,PG,66,,23.5,2.3,4.9,0.477,0.0,0.0,0.0,2.3,4.9,0.48,0.477,0.8,1.2,0.727,0.5,1.2,1.7,4.2,0.8,0.1,1.5,1.6,5.5,
9.0,Mike Dunleavy,25.0,PG,51,,20.3,2.9,6.3,0.464,0.1,0.4,0.15,2.8,5.9,0.485,0.469,2.2,2.6,0.828,0.5,1.5,2.0,4.1,0.8,0.1,2.2,2.4,8.0,
10.0,Major Jones,26.0,PF,82,,18.8,2.3,4.8,0.48,0.0,0.0,0.333,2.3,4.7,0.481,0.481,0.7,1.3,0.565,1.8,2.9,4.6,0.8,0.6,0.8,1.4,2.3,5.3,
11.0,Dwight Jones,27.0,PF,21,,13.2,2.4,5.7,0.42,0.0,0.0,,2.4,5.7,0.42,0.42,1.3,1.7,0.75,1.5,2.0,3.4,0.5,0.2,0.2,1.0,2.3,6.0,
12.0,Rudy White,26.0,SG,9,,11.8,1.4,2.7,0.542,0.0,0.0,,1.4,2.7,0.542,0.542,1.1,1.4,0.769,0.0,1.0,1.0,0.6,0.6,0.0,0.9,0.9,4.0,
13.0,John Shumate,27.0,PF,29,,11.4,1.2,2.2,0.531,0.0,0.0,,1.2,2.2,0.531,0.531,1.1,1.5,0.75,0.9,1.9,2.7,0.8,0.3,0.3,0.9,1.3,3.5,
14.0,Paul Mokeski,23.0,C,12,,9.4,0.9,2.8,0.333,0.0,0.0,,0.9,2.8,0.333,0.333,0.6,0.8,0.778,1.2,1.3,2.4,0.2,0.1,0.5,0.8,2.0,2.4,
15.0,Alonzo Bradley,26.0,SF,22,,4.4,0.8,2.2,0.354,0.0,0.0,1.0,0.7,2.1,0.34,0.365,0.3,0.4,0.667,0.1,0.2,0.3,0.1,0.1,0.0,0.4,0.4,1.9,
,Team Totals,,,82,82.0,243.0,43.9,91.4,0.48,1.3,4.6,0.274,42.6,86.8,0.491,0.487,21.7,28.4,0.766,17.0,27.0,44.0,26.2,9.5,4.5,19.1,23.5,110.8,
