Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Johnny Davis,24,PG,82,82,2912,6.1,14.3,0.428,0.0,0.5,0.095,6.1,13.8,0.44,0.43,3.8,4.4,0.864,1.3,1.5,2.8,5.4,1.4,0.3,2.5,2.2,16.1,
2,Mickey Johnson,27,PF,82,61,2647,8.0,17.3,0.463,0.1,0.4,0.156,7.9,16.9,0.471,0.465,5.2,6.6,0.799,3.5,5.8,9.3,4.7,2.1,1.5,3.9,4.0,21.3,
3,Mike Bantom,28,SF,77,69,2330,5.9,11.7,0.505,0.0,0.0,0.333,5.9,11.7,0.506,0.506,2.1,3.2,0.665,3.0,4.1,7.0,4.3,1.3,0.8,2.9,4.1,14.0,
4,James Edwards,24,C,82,82,2314,8.2,16.1,0.512,0.0,0.0,0.0,8.2,16.0,0.512,0.512,3.6,5.3,0.681,2.8,6.2,9.0,2.0,0.9,1.6,2.0,5.0,20.0,
5,Dudley Bradley,22,SG,82,38,2027,4.9,10.8,0.452,0.0,0.1,0.4,4.8,10.7,0.452,0.453,2.4,3.1,0.782,1.2,2.7,4.0,4.5,3.7,0.9,2.9,3.4,12.2,
6,Billy Knight,27,SF,75,43,1910,7.3,13.6,0.533,0.1,0.3,0.267,7.2,13.3,0.539,0.536,4.0,4.9,0.809,2.6,4.2,6.8,2.9,1.5,0.2,2.5,1.8,18.6,
7,Clemon Johnson,23,C,79,0,1541,4.6,9.3,0.503,0.0,0.0,,4.6,9.3,0.503,0.503,1.7,2.7,0.632,3.4,5.8,9.2,2.7,1.1,2.8,1.8,4.9,11.0,
8,Alex English,26,SF,54,15,1526,8.2,16.2,0.504,0.0,0.1,0.0,8.2,16.1,0.507,0.504,2.7,3.3,0.814,3.9,5.0,9.0,3.3,1.1,0.8,2.9,3.0,19.0,
9,Joe Hassett,24,SG,74,2,1135,6.8,16.1,0.422,2.2,6.3,0.348,4.6,9.9,0.469,0.49,0.8,0.9,0.828,1.1,1.9,3.0,3.3,1.5,0.3,1.4,2.7,16.6,
10,George McGinnis,29,PF,28,18,784,6.1,13.9,0.437,0.0,0.4,0.125,6.0,13.5,0.446,0.439,4.8,8.3,0.575,4.0,6.8,10.9,5.1,1.5,0.3,4.3,5.3,16.9,
11,Phil Chenier,29,SG,23,0,380,4.9,12.8,0.385,0.2,0.6,0.333,4.7,12.2,0.388,0.393,1.7,2.5,0.692,0.9,2.5,3.3,4.5,1.4,0.9,2.5,2.7,11.7,
12,Ron Carter,23,SG,13,0,117,4.6,11.4,0.405,0.0,0.0,,4.6,11.4,0.405,0.405,0.6,2.2,0.286,1.5,4.3,5.8,2.8,0.6,0.9,3.1,5.8,9.8,
13,John Kuester,24,PG,24,0,100,4.3,12.2,0.353,0.0,0.4,0.0,4.3,11.9,0.364,0.353,1.8,2.5,0.714,1.1,4.0,5.0,5.8,2.5,0.4,1.8,2.9,10.4,
14,Tony Zeno,22,SF,8,0,59,3.7,12.8,0.286,0.0,0.0,,3.7,12.8,0.286,0.286,1.2,1.2,1.0,1.8,6.7,8.5,0.6,2.4,1.8,5.5,7.9,8.5,
15,Brad Davis,24,PG,5,0,43,1.7,5.9,0.286,0.0,0.0,,1.7,5.9,0.286,0.286,2.5,3.3,0.75,0.0,1.7,1.7,4.2,2.5,0.0,2.5,5.9,5.9,
16,Corky Calhoun,29,SF,7,0,30,4.8,10.8,0.444,0.0,0.0,,4.8,10.8,0.444,0.444,0.0,2.4,0.0,8.4,3.6,12.0,0.0,2.4,0.0,1.2,7.2,9.6,
