No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
33,Kareem Abdul-Jabbar,C,7-2,225,"April 16, 1947",us US,10,UCLA
24,Ron Boone,SG,6-2,200,"September 6, 1946",us US,11,"Iowa Western Community College, Clarinda Campus, Idaho State University"
7,Marty Byrnes,SF,6-7,215,"April 30, 1956",us US,1,Syracuse
7,Kenny Carr,PF,6-7,220,"August 15, 1955",us US,2,NC State
9,Jim Chones,C,6-11,220,"November 30, 1949",us US,7,Marquette
21,Michael Cooper,SG,6-7,170,"April 15, 1956",us US,1,New Mexico
35,Don Ford,SF,6-9,215,"December 31, 1952",us US,4,"New Mexico, UC Santa Barbara"
31,Spencer Haywood,PF,6-8,225,"April 22, 1949",us US,10,"Trinidad State Junior College, Detroit Mercy"
14,Brad Holland,SG,6-3,180,"December 6, 1956",us US,R,UCLA
32,Magic Johnson,SG,6-9,215,"August 14, 1959",us US,R,Michigan State
54,Mark Landsberger,C,6-8,215,"May 21, 1955",us US,2,"Minnesota, Arizona State"
15,Butch Lee,PG,6-0,185,"December 5, 1956",pr PR,1,Marquette
25,Ollie Mack,SG,6-3,185,"June 6, 1957",us US,R,East Carolina University
10,Norm Nixon,PG,6-2,170,"October 11, 1955",us US,2,Duquesne
52,Jamaal Wilkes,SF,6-6,190,"May 2, 1953",us US,5,UCLA
