Rk,Player,Age,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Magic Johnson,20,SG,16,658,5.6,10.9,0.518,0.1,0.4,0.25,5.5,10.4,0.529,0.523,4.7,5.8,0.802,2.8,6.3,9.2,8.3,2.7,0.3,3.6,2.6,16.0,Finals MVP-1
2,Jamaal Wilkes,26,SF,16,652,7.7,16.2,0.476,0.0,0.1,0.0,7.7,16.2,0.478,0.476,2.4,3.0,0.815,2.9,4.1,7.1,2.7,1.3,0.3,1.9,2.8,17.9,
3,Norm Nixon,24,PG,16,648,6.3,13.3,0.477,0.1,0.3,0.2,6.3,13.0,0.483,0.479,2.3,2.8,0.804,0.7,2.4,3.1,6.9,1.8,0.2,2.7,3.3,15.0,
4,Kareem Abdul-Jabbar,32,C,15,618,11.5,20.2,0.572,0.0,0.0,,11.5,20.2,0.572,0.572,4.8,6.1,0.79,3.0,7.6,10.5,2.7,1.0,3.4,3.2,3.0,27.9,
5,Michael Cooper,23,SG,16,464,4.4,10.9,0.407,0.0,0.2,0.0,4.4,10.7,0.413,0.407,2.4,2.8,0.861,2.2,2.4,4.6,4.5,1.9,0.9,2.3,4.2,11.3,
6,Jim Chones,30,C,16,439,3.9,9.7,0.407,0.0,0.0,,3.9,9.7,0.407,0.407,1.9,2.8,0.676,2.6,5.9,8.5,2.3,0.7,0.5,2.6,4.9,9.8,
7,Mark Landsberger,24,C,16,195,4.6,12.7,0.362,0.0,0.2,0.0,4.6,12.6,0.368,0.362,0.9,1.1,0.833,4.6,8.1,12.7,0.4,0.6,0.4,1.8,6.5,10.2,
8,Spencer Haywood,30,PF,11,145,6.2,13.2,0.472,0.0,0.2,0.0,6.2,12.9,0.481,0.472,3.2,4.0,0.813,3.5,3.0,6.5,1.0,0.0,1.5,5.0,4.2,15.6,
9,Brad Holland,23,SG,9,32,5.6,11.3,0.5,0.0,0.0,,5.6,11.3,0.5,0.5,4.5,4.5,1.0,2.3,3.4,5.6,3.4,5.6,0.0,3.4,9.0,15.8,
10,Marty Byrnes,23,SF,4,8,4.5,13.5,0.333,0.0,0.0,,4.5,13.5,0.333,0.333,18.0,27.0,0.667,4.5,0.0,4.5,4.5,0.0,0.0,4.5,0.0,27.0,
11,Butch Lee,23,PG,3,6,0.0,0.0,,0.0,0.0,,0.0,0.0,,,12.0,12.0,1.0,0.0,6.0,6.0,0.0,0.0,0.0,18.0,12.0,12.0,
