No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
54,Kent Benson,C,6-11,245,"December 27, 1954",us US,2,Indiana
2,Junior Bridgeman,SF,6-5,210,"September 17, 1953",us US,4,Louisville
21,Quinn Buckner,PG,6-3,190,"August 20, 1954",us US,3,Indiana
42,Harvey Catchings,C,6-9,218,"September 2, 1951",us US,5,Hardin-Simmons University
6,Pat Cummings,C,6-9,230,"July 11, 1956",us US,R,Cincinnati
8,Marques Johnson,SF,6-7,218,"February 8, 1956",us US,2,UCLA
16,Bob Lanier,C,6-11,250,"September 10, 1948",us US,9,St. Bonaventure
7,Dave Meyers,PF,6-8,215,"April 21, 1953",us US,3,UCLA
4,Sidney Moncrief,SG,6-4,180,"September 21, 1957",us US,R,Arkansas
11,Lloyd Walton,PG,6-0,160,"November 23, 1953",us US,3,Marquette
31,Richard Washington,PF,6-11,220,"July 15, 1955",us US,3,UCLA
32,Brian Winters,SG,6-4,185,"March 1, 1952",us US,5,South Carolina
