Rk,Player,Age,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Marques Johnson,23,SF,77,2686,9.2,17.0,0.544,0.0,0.1,0.222,9.2,16.9,0.546,0.545,3.9,4.9,0.791,2.9,4.7,7.6,3.7,1.3,0.9,2.5,2.3,22.4,"AS,NBA2"
2,Brian Winters,27,SG,80,2623,7.3,15.3,0.479,0.5,1.4,0.373,6.8,13.9,0.49,0.496,2.5,2.9,0.86,0.7,2.4,3.1,5.0,1.4,0.4,2.6,2.9,17.7,
3,Junior Bridgeman,26,SF,81,2316,9.2,19.3,0.478,0.1,0.4,0.185,9.2,18.9,0.484,0.48,3.6,4.1,0.865,1.6,3.1,4.7,3.7,1.5,0.3,2.7,3.4,22.1,
4,Dave Meyers,26,PF,79,2204,6.5,13.6,0.481,0.0,0.1,0.2,6.5,13.5,0.482,0.481,2.5,4.0,0.634,2.3,5.0,7.3,3.7,1.2,0.7,3.0,3.6,15.6,
5,Quinn Buckner,25,PG,67,1690,6.5,14.0,0.467,0.0,0.1,0.4,6.5,13.8,0.468,0.469,2.2,3.0,0.734,1.5,3.6,5.1,8.2,2.9,0.1,3.2,4.3,15.3,DEF2
6,Sidney Moncrief,22,SG,77,1557,4.9,10.4,0.468,0.0,0.0,0.0,4.9,10.4,0.469,0.468,5.4,6.8,0.795,3.6,4.3,7.8,3.1,1.7,0.4,2.7,2.5,15.1,
7,Kent Benson,25,C,56,1389,5.5,11.2,0.494,0.0,0.0,0.0,5.5,11.1,0.495,0.494,1.7,2.5,0.68,2.5,6.1,8.6,3.3,1.4,1.9,2.7,4.6,12.8,
8,Harvey Catchings,28,C,72,1366,2.6,6.4,0.398,0.0,0.0,0.0,2.6,6.4,0.399,0.398,1.0,1.6,0.629,4.3,6.5,10.8,2.2,0.6,4.3,1.8,5.0,6.1,
9,Lloyd Walton,26,PG,76,1243,3.2,7.0,0.455,0.0,0.1,0.333,3.2,6.9,0.456,0.457,1.4,2.1,0.69,1.0,1.7,2.6,8.3,1.2,0.1,3.2,2.0,7.8,
10,Richard Washington,24,PF,75,1092,6.5,13.9,0.468,0.0,0.0,,6.5,13.9,0.468,0.468,1.5,2.5,0.605,3.1,6.0,9.1,1.8,0.9,1.6,2.1,5.5,14.5,
11,Pat Cummings,23,C,71,900,7.5,14.8,0.505,0.0,0.0,,7.5,14.8,0.505,0.505,3.8,4.9,0.764,3.2,6.3,9.5,2.1,0.9,0.7,3.0,5.6,18.7,
12,Bob Lanier,31,C,26,739,7.2,13.8,0.519,0.0,0.0,1.0,7.1,13.7,0.518,0.521,5.5,7.0,0.785,2.1,6.6,8.7,3.0,1.8,1.4,2.4,3.4,19.9,
