G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Opponent,Unnamed: 6,Unnamed: 7,Tm,Opp,W,L,Streak,Attend.,LOG,Notes
1,"Fri, Nov 3, 1989",,Box Score,@,Boston Celtics,L,,114,127,0,1,L 1,14890,2:15,
2,"Sat, Nov 4, 1989",,Box Score,@,Philadelphia 76ers,W,,102,96,1,1,W 1,13893,,
3,"Tue, Nov 7, 1989",,Box Score,,Boston Celtics,W,,106,100,2,1,W 2,15079,2:07,
4,"Thu, Nov 9, 1989",,Box Score,,Seattle SuperSonics,W,5OT,155,154,3,1,W 3,14012,,
5,"Sat, Nov 11, 1989",,Box Score,,Philadelphia 76ers,L,,96,104,3,2,L 1,17465,,
6,"Tue, Nov 14, 1989",,Box Score,,San Antonio Spurs,W,,108,97,4,2,W 1,14120,,
7,"Thu, Nov 16, 1989",,Box Score,,Orlando Magic,W,,132,113,5,2,W 2,13298,,
8,"Fri, Nov 17, 1989",,Box Score,@,Detroit Pistons,L,,79,106,5,3,L 1,21454,,
9,"Tue, Nov 21, 1989",,Box Score,@,Washington Bullets,L,,91,97,5,4,L 2,11721,,
10,"Wed, Nov 22, 1989",,Box Score,,Atlanta Hawks,W,,118,100,6,4,W 1,15124,,
11,"Sat, Nov 25, 1989",,Box Score,@,New York Knicks,L,,108,125,6,5,L 1,18212,,
12,"Mon, Nov 27, 1989",,Box Score,,Indiana Pacers,L,,97,101,6,6,L 2,13226,,
13,"Wed, Nov 29, 1989",,Box Score,@,Los Angeles Clippers,W,,117,103,7,6,W 1,12306,,
14,"Thu, Nov 30, 1989",,Box Score,@,Denver Nuggets,L,,102,103,7,7,L 1,8727,,
15,"Sat, Dec 2, 1989",,Box Score,@,Golden State Warriors,L,,98,101,7,8,L 2,15025,,
16,"Tue, Dec 5, 1989",,Box Score,@,Sacramento Kings,L,,103,118,7,9,L 3,17014,,
17,"Fri, Dec 8, 1989",,Box Score,@,Phoenix Suns,L,,98,123,7,10,L 4,12409,,
18,"Sun, Dec 10, 1989",,Box Score,,Portland Trail Blazers,W,,107,104,8,10,W 1,15124,,
19,"Tue, Dec 12, 1989",,Box Score,,Orlando Magic,W,,106,103,9,10,W 2,14276,,
20,"Wed, Dec 13, 1989",,Box Score,@,Cleveland Cavaliers,L,,93,99,9,11,L 1,13331,,
G,Date,,,,Opponent,,,Tm,Opp,W,L,Streak,Attend.,LOG,Notes
21,"Fri, Dec 15, 1989",,Box Score,@,Indiana Pacers,W,,103,98,10,11,W 1,10495,,
22,"Sat, Dec 16, 1989",,Box Score,,Miami Heat,L,,96,99,10,12,L 1,15715,,
23,"Tue, Dec 19, 1989",,Box Score,,Boston Celtics,L,,86,95,10,13,L 2,15182,2:12,
24,"Fri, Dec 22, 1989",,Box Score,,Cleveland Cavaliers,W,,112,100,11,13,W 1,17854,,
25,"Sat, Dec 23, 1989",,Box Score,@,Minnesota Timberwolves,W,,94,90,12,13,W 2,23249,,
26,"Tue, Dec 26, 1989",,Box Score,,Houston Rockets,W,,103,96,13,13,W 3,15945,,
27,"Fri, Dec 29, 1989",,Box Score,@,Detroit Pistons,W,,99,85,14,13,W 4,21454,,
28,"Sat, Dec 30, 1989",,Box Score,,Minnesota Timberwolves,W,,109,99,15,13,W 5,17924,,
29,"Tue, Jan 2, 1990",,Box Score,@,Atlanta Hawks,L,,107,113,15,14,L 1,11676,,
30,"Wed, Jan 3, 1990",,Box Score,@,New Jersey Nets,W,,110,96,16,14,W 1,6890,,
31,"Sat, Jan 6, 1990",,Box Score,,Chicago Bulls,W,,118,111,17,14,W 2,18633,2:02,
32,"Mon, Jan 8, 1990",,Box Score,,Charlotte Hornets,W,,126,113,18,14,W 3,14178,,
33,"Wed, Jan 10, 1990",,Box Score,@,Cleveland Cavaliers,W,,116,100,19,14,W 4,15369,,
34,"Fri, Jan 12, 1990",,Box Score,,Los Angeles Clippers,L,,94,95,19,15,L 1,17901,,
35,"Sat, Jan 13, 1990",,Box Score,@,Indiana Pacers,L,,109,111,19,16,L 2,12180,,
36,"Tue, Jan 16, 1990",,Box Score,,Golden State Warriors,W,,134,126,20,16,W 1,18633,,
37,"Thu, Jan 18, 1990",,Box Score,@,Washington Bullets,W,,115,112,21,16,W 2,12414,,
38,"Fri, Jan 19, 1990",,Box Score,,Los Angeles Lakers,W,,103,102,22,16,W 3,18633,,
39,"Sun, Jan 21, 1990",,Box Score,,Miami Heat,W,,127,101,23,16,W 4,15017,,
40,"Tue, Jan 23, 1990",,Box Score,@,Portland Trail Blazers,L,,90,119,23,17,L 1,12884,,
G,Date,,,,Opponent,,,Tm,Opp,W,L,Streak,Attend.,LOG,Notes
41,"Wed, Jan 24, 1990",,Box Score,@,Seattle SuperSonics,W,,119,112,24,17,W 1,10903,,
42,"Fri, Jan 26, 1990",,Box Score,@,Los Angeles Lakers,L,,91,100,24,18,L 1,17505,,
43,"Sat, Jan 27, 1990",,Box Score,@,Utah Jazz,L,,96,144,24,19,L 2,12616,,
44,"Tue, Jan 30, 1990",,Box Score,,Sacramento Kings,W,,109,102,25,19,W 1,13682,,
45,"Thu, Feb 1, 1990",,Box Score,,Orlando Magic,W,,129,111,26,19,W 2,14113,,
46,"Fri, Feb 2, 1990",,Box Score,@,Philadelphia 76ers,L,,109,119,26,20,L 1,15383,,
47,"Sun, Feb 4, 1990",,Box Score,,Philadelphia 76ers,L,,102,105,26,21,L 2,17964,,
48,"Tue, Feb 6, 1990",,Box Score,@,Boston Celtics,W,,119,106,27,21,W 1,15239,1:59,"at Hartford, CT"
49,"Thu, Feb 8, 1990",,Box Score,,Detroit Pistons,L,,101,104,27,22,L 1,17204,,
50,"Wed, Feb 14, 1990",,Box Score,,Denver Nuggets,W,,127,117,28,22,W 1,13829,,
51,"Sun, Feb 18, 1990",,Box Score,,Chicago Bulls,L,,88,111,28,23,L 1,18633,2:08,
52,"Tue, Feb 20, 1990",,Box Score,,New Jersey Nets,W,,110,102,29,23,W 1,14065,,
53,"Thu, Feb 22, 1990",,Box Score,,Dallas Mavericks,W,,109,97,30,23,W 2,15136,,
54,"Fri, Feb 23, 1990",,Box Score,@,Charlotte Hornets,W,,104,100,31,23,W 3,23901,,
55,"Sun, Feb 25, 1990",,Box Score,@,Miami Heat,W,,113,108,32,23,W 4,15008,,
56,"Tue, Feb 27, 1990",,Box Score,@,Chicago Bulls,L,,96,106,32,24,L 1,18050,2:12,
57,"Fri, Mar 2, 1990",,Box Score,@,Atlanta Hawks,L,,110,132,32,25,L 2,16096,,
58,"Sat, Mar 3, 1990",,Box Score,,New York Knicks,L,,105,106,32,26,L 3,18633,,
59,"Tue, Mar 6, 1990",,Box Score,,Chicago Bulls,L,,105,114,32,27,L 4,18633,2:01,
60,"Fri, Mar 9, 1990",,Box Score,,Utah Jazz,L,,100,108,32,28,L 5,18633,,
G,Date,,,,Opponent,,,Tm,Opp,W,L,Streak,Attend.,LOG,Notes
61,"Sun, Mar 11, 1990",,Box Score,,Cleveland Cavaliers,L,,96,107,32,29,L 6,17474,,
62,"Mon, Mar 12, 1990",,Box Score,@,New Jersey Nets,W,,109,104,33,29,W 1,7146,,
63,"Thu, Mar 15, 1990",,Box Score,,Washington Bullets,W,,96,91,34,29,W 2,14602,,
64,"Sat, Mar 17, 1990",,Box Score,@,New York Knicks,W,,123,111,35,29,W 3,18212,,
65,"Tue, Mar 20, 1990",,Box Score,,Detroit Pistons,L,,96,117,35,30,L 1,17053,,
66,"Wed, Mar 21, 1990",,Box Score,@,Indiana Pacers,L,,96,112,35,31,L 2,9350,,
67,"Sat, Mar 24, 1990",,Box Score,@,Orlando Magic,W,,109,101,36,31,W 1,15077,,
68,"Sun, Mar 25, 1990",,Box Score,@,Miami Heat,L,,102,105,36,32,L 1,15008,,
69,"Tue, Mar 27, 1990",,Box Score,,Phoenix Suns,W,,133,127,37,32,W 1,15493,,
70,"Thu, Mar 29, 1990",,Box Score,@,Houston Rockets,L,,94,120,37,33,L 1,15088,,
71,"Sat, Mar 31, 1990",,Box Score,@,San Antonio Spurs,L,,100,107,37,34,L 2,15910,,
72,"Sun, Apr 1, 1990",,Box Score,@,Dallas Mavericks,L,,72,86,37,35,L 3,17007,,
73,"Wed, Apr 4, 1990",,Box Score,,Indiana Pacers,W,OT,121,116,38,35,W 1,15019,,
74,"Fri, Apr 6, 1990",,Box Score,@,Detroit Pistons,W,,92,84,39,35,W 2,21545,,
75,"Sat, Apr 7, 1990",,Box Score,,Washington Bullets,W,,110,100,40,35,W 3,18482,,
76,"Tue, Apr 10, 1990",,Box Score,@,Orlando Magic,W,,130,127,41,35,W 4,15077,,
77,"Wed, Apr 11, 1990",,Box Score,@,Atlanta Hawks,L,,94,106,41,36,L 1,13348,,
78,"Fri, Apr 13, 1990",,Box Score,@,Chicago Bulls,L,,106,116,41,37,L 2,18676,1:58,
79,"Sat, Apr 14, 1990",,Box Score,,Atlanta Hawks,W,,109,93,42,37,W 1,18633,,
80,"Tue, Apr 17, 1990",,Box Score,,Cleveland Cavaliers,L,,88,96,42,38,L 1,14374,,
G,Date,,,,Opponent,,,Tm,Opp,W,L,Streak,Attend.,LOG,Notes
81,"Thu, Apr 19, 1990",,Box Score,,New York Knicks,W,,96,95,43,38,W 1,14487,,
82,"Sat, Apr 21, 1990",,Box Score,,New Jersey Nets,W,,96,95,44,38,W 2,16121,,
