No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
21,Tim Bassett,PF,6-8,225,"April 1, 1951",us US,6,"College of Southern Idaho, Georgia"
34,Winford Boynes,SG,6-6,185,"May 17, 1957",us US,1,San Francisco
54,Bob Elliott,PF,6-9,225,"August 18, 1955",us US,1,Arizona
17,Phil Jackson,PF,6-8,220,"September 17, 1945",us US,11,University of North Dakota
52,George Johnson,C,6-11,205,"December 18, 1948",us US,7,Dillard University
15,Eddie Jordan,PG,6-1,170,"January 29, 1955",us US,2,Rutgers University
53,Rich Kelley,C,7-0,235,"March 23, 1953",us US,4,Stanford
33,Maurice Lucas,PF,6-9,215,"February 18, 1952",us US,5,Marquette
43,Calvin Natt,SF,6-6,220,"January 8, 1957",us US,R,Louisiana-Monroe
14,Mike Newlin,SG,6-4,200,"January 2, 1949",us US,8,Utah
22,Roger Phegley,SG,6-6,205,"October 16, 1956",us US,1,Bradley
45,Cliff Robinson,PF,6-9,220,"March 13, 1960",us US,R,USC
44,Ralph Simpson,SG,6-5,200,"August 10, 1949",us US,9,Michigan State
10,Robert Smith,PG,5-11,165,"March 10, 1955",us US,2,UNLV
20,Jan van Breda Kolff,SF,6-7,195,"December 16, 1951",us US,5,Vanderbilt
23,John Williamson,SG,6-2,185,"November 10, 1951",us US,6,New Mexico State
