Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1.0,Calvin Natt,23.0,SF,53,,38.6,7.9,16.6,0.479,0.0,0.1,0.2,7.9,16.5,0.481,0.48,3.8,5.3,0.711,3.3,6.4,9.7,2.1,1.5,0.4,2.5,2.8,19.7,
2.0,Eddie Jordan,25.0,PG,82,82.0,32.4,5.3,12.4,0.43,0.1,0.6,0.25,5.2,11.8,0.439,0.436,2.5,3.1,0.779,0.8,2.5,3.3,6.8,2.7,0.3,3.1,2.9,13.3,
3.0,Maurice Lucas,27.0,PF,22,,32.2,5.8,11.9,0.49,0.0,0.2,0.0,5.8,11.7,0.498,0.49,3.6,4.6,0.775,2.6,7.0,9.6,3.8,0.9,1.2,3.2,3.7,15.2,
4.0,Mike Newlin,31.0,SG,78,,32.2,7.8,17.0,0.46,0.6,1.9,0.296,7.3,15.1,0.481,0.477,4.7,5.3,0.884,1.3,2.1,3.4,4.0,1.5,0.1,3.0,2.5,20.9,
5.0,Jan van Breda Kolff,28.0,SF,82,,29.3,2.6,5.6,0.463,0.1,0.2,0.35,2.5,5.3,0.468,0.471,1.6,1.9,0.839,1.3,4.0,5.2,3.0,1.2,0.9,1.9,3.7,6.8,
6.0,John Williamson,28.0,SG,28,,27.5,7.4,16.5,0.447,0.3,0.7,0.421,7.1,15.8,0.448,0.456,2.7,3.1,0.864,0.9,1.1,1.9,3.1,0.9,0.3,1.5,2.5,17.7,
7.0,George Johnson,31.0,C,81,,26.2,3.1,6.7,0.457,0.0,0.0,0.0,3.1,6.7,0.458,0.457,1.1,1.6,0.706,2.4,5.1,7.4,2.1,0.7,3.2,2.5,3.9,7.2,
8.0,Rich Kelley,26.0,C,57,,25.7,3.3,7.0,0.466,0.0,0.1,0.0,3.3,6.9,0.47,0.466,3.5,4.4,0.788,2.7,4.2,7.0,2.2,0.9,1.4,2.7,3.8,10.0,
9.0,Cliff Robinson,19.0,PF,70,,23.7,5.6,11.9,0.469,0.0,0.1,0.25,5.6,11.8,0.47,0.47,2.4,3.5,0.694,2.5,4.7,7.2,1.4,0.9,0.5,2.0,2.5,13.6,
10.0,Roger Phegley,23.0,SG,28,,19.3,4.5,9.3,0.485,0.1,0.1,0.5,4.4,9.1,0.484,0.488,2.6,3.0,0.88,0.9,1.6,2.5,1.1,0.5,0.1,1.8,1.9,11.7,
11.0,Winford Boynes,22.0,SG,64,,17.2,3.5,7.3,0.473,0.0,0.1,0.0,3.5,7.2,0.477,0.473,1.6,2.1,0.765,0.8,1.3,2.1,1.5,0.9,0.3,1.5,2.1,8.5,
12.0,Bob Elliott,24.0,PF,54,,13.4,1.9,4.2,0.443,0.0,0.1,0.25,1.9,4.1,0.446,0.445,1.9,2.8,0.684,1.2,2.2,3.4,1.0,0.5,0.3,1.6,1.8,5.7,
13.0,Tim Bassett,28.0,PF,7,,13.1,1.1,3.1,0.364,0.0,0.0,,1.1,3.1,0.364,0.364,1.1,1.7,0.667,1.0,1.6,2.6,0.6,0.7,0.0,0.6,2.0,3.4,
14.0,Robert Smith,24.0,PG,59,,12.5,1.9,4.3,0.445,0.1,0.4,0.308,1.8,3.9,0.461,0.461,1.3,1.5,0.862,0.3,1.0,1.3,1.4,0.4,0.1,0.9,1.7,5.2,
15.0,Phil Jackson,34.0,PF,16,,12.1,1.8,2.9,0.63,0.0,0.1,0.0,1.8,2.8,0.659,0.63,0.4,0.6,0.7,0.8,0.8,1.5,0.8,0.3,0.3,0.6,2.2,4.1,
16.0,Ralph Simpson,30.0,SG,8,,10.1,2.3,5.9,0.383,0.0,0.3,0.0,2.3,5.6,0.4,0.383,0.6,1.3,0.5,0.8,0.6,1.4,1.8,1.1,0.0,1.5,0.4,5.1,
,Team Totals,,,82,82.0,241.5,42.1,91.5,0.461,1.0,3.6,0.285,41.1,87.9,0.468,0.466,23.0,29.3,0.782,15.0,30.9,45.9,25.5,10.6,7.1,20.8,26.6,108.3,
