G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Opponent,Unnamed: 6,Unnamed: 7,Tm,Opp,W,L,Streak,Attend.,LOG,Notes
1,"Fri, Nov 3, 1989",,Box Score,@,Miami Heat,W,,110,90,1,0,W 1,15008,,
2,"Sat, Nov 4, 1989",,Box Score,@,Orlando Magic,W,,111,106,2,0,W 2,15077,,
3,"Tue, Nov 7, 1989",,Box Score,,Miami Heat,L,,77,83,2,1,L 1,11999,,
4,"Thu, Nov 9, 1989",,Box Score,@,New York Knicks,L,,105,107,2,2,L 2,13482,,
5,"Fri, Nov 10, 1989",,Box Score,,Chicago Bulls,W,,117,107,3,2,W 1,20049,,
6,"Tue, Nov 14, 1989",,Box Score,,Cleveland Cavaliers,L,,92,103,3,3,L 1,8897,,
7,"Wed, Nov 15, 1989",,Box Score,@,Boston Celtics,L,,92,126,3,4,L 2,14890,1:48,
8,"Sat, Nov 18, 1989",,Box Score,,San Antonio Spurs,L,,95,110,3,5,L 3,13269,,
9,"Tue, Nov 21, 1989",,Box Score,@,Seattle SuperSonics,L,,84,114,3,6,L 4,12109,,
10,"Wed, Nov 22, 1989",,Box Score,@,Los Angeles Clippers,L,,97,106,3,7,L 5,8416,,
11,"Fri, Nov 24, 1989",,Box Score,@,Portland Trail Blazers,L,,99,125,3,8,L 6,12884,,
12,"Sat, Nov 25, 1989",,Box Score,@,Sacramento Kings,L,,98,112,3,9,L 7,17014,,
13,"Mon, Nov 27, 1989",,Box Score,@,Utah Jazz,L,,68,105,3,10,L 8,12616,,
14,"Wed, Nov 29, 1989",,Box Score,,Boston Celtics,L,,95,118,3,11,L 9,16335,1:53,
15,"Fri, Dec 1, 1989",,Box Score,,Miami Heat,W,,101,77,4,11,W 1,10240,,
16,"Tue, Dec 5, 1989",,Box Score,@,Minnesota Timberwolves,L,,90,92,4,12,L 1,18918,,
17,"Fri, Dec 8, 1989",,Box Score,@,Houston Rockets,W,,99,94,5,12,W 1,15105,,
18,"Sat, Dec 9, 1989",,Box Score,@,San Antonio Spurs,L,,92,109,5,13,L 1,14930,,
19,"Tue, Dec 12, 1989",,Box Score,,Philadelphia 76ers,W,,97,82,6,13,W 1,10549,,
20,"Thu, Dec 14, 1989",,Box Score,,Indiana Pacers,L,,78,102,6,14,L 1,7810,,
G,Date,,,,Opponent,,,Tm,Opp,W,L,Streak,Attend.,LOG,Notes
21,"Sat, Dec 16, 1989",,Box Score,,Los Angeles Lakers,L,,92,99,6,15,L 2,20049,,
22,"Tue, Dec 19, 1989",,Box Score,@,Miami Heat,W,,100,98,7,15,W 1,15008,,
23,"Wed, Dec 20, 1989",,Box Score,,Dallas Mavericks,L,,78,84,7,16,L 1,7010,,
24,"Fri, Dec 22, 1989",,Box Score,,Detroit Pistons,L,,90,96,7,17,L 2,11053,,
25,"Sat, Dec 23, 1989",,Box Score,@,New York Knicks,L,,85,94,7,18,L 3,17047,,
26,"Tue, Dec 26, 1989",,Box Score,,Washington Bullets,W,,101,94,8,18,W 1,7510,,
27,"Thu, Dec 28, 1989",,Box Score,,New York Knicks,L,,104,106,8,19,L 1,20049,,
28,"Sat, Dec 30, 1989",,Box Score,@,Detroit Pistons,L,,106,117,8,20,L 2,21454,,
29,"Tue, Jan 2, 1990",,Box Score,@,Washington Bullets,L,,96,110,8,21,L 3,5726,,
30,"Wed, Jan 3, 1990",,Box Score,,Milwaukee Bucks,L,,96,110,8,22,L 4,6890,,
31,"Sat, Jan 6, 1990",,Box Score,@,Atlanta Hawks,L,,96,105,8,23,L 5,13333,,
32,"Sun, Jan 7, 1990",,Box Score,,Atlanta Hawks,W,,98,93,9,23,W 1,11101,,
33,"Tue, Jan 9, 1990",,Box Score,,Boston Celtics,W,,87,78,10,23,W 2,16039,2:12,
34,"Thu, Jan 11, 1990",,Box Score,,Charlotte Hornets,W,,109,101,11,23,W 3,7941,,
35,"Sat, Jan 13, 1990",,Box Score,@,Cleveland Cavaliers,L,,96,98,11,24,L 1,17139,,
36,"Sun, Jan 14, 1990",,Box Score,,Portland Trail Blazers,L,,90,99,11,25,L 2,11492,,
37,"Wed, Jan 17, 1990",,Box Score,,Washington Bullets,W,,115,106,12,25,W 1,7781,,
38,"Fri, Jan 19, 1990",,Box Score,@,Orlando Magic,L,,105,120,12,26,L 1,15077,,
39,"Sat, Jan 20, 1990",,Box Score,@,Philadelphia 76ers,L,,98,108,12,27,L 2,11923,,
40,"Thu, Jan 25, 1990",,Box Score,,Orlando Magic,L,,112,117,12,28,L 3,8356,,
G,Date,,,,Opponent,,,Tm,Opp,W,L,Streak,Attend.,LOG,Notes
41,"Sat, Jan 27, 1990",,Box Score,@,Chicago Bulls,L,,107,110,12,29,L 4,18676,,
42,"Mon, Jan 29, 1990",,Box Score,@,Dallas Mavericks,L,,88,108,12,30,L 5,16151,,
43,"Tue, Jan 30, 1990",,Box Score,@,Phoenix Suns,L,,95,120,12,31,L 6,13291,,
44,"Thu, Feb 1, 1990",,Box Score,@,Denver Nuggets,L,,112,123,12,32,L 7,6880,,
45,"Fri, Feb 2, 1990",,Box Score,@,Golden State Warriors,L,,109,128,12,33,L 8,15025,,
46,"Sun, Feb 4, 1990",,Box Score,@,Los Angeles Lakers,L,,105,121,12,34,L 9,17505,,
47,"Wed, Feb 7, 1990",,Box Score,,Utah Jazz,L,,101,108,12,35,L 10,11489,,
48,"Wed, Feb 14, 1990",,Box Score,@,Philadelphia 76ers,L,,112,122,12,36,L 11,8322,,
49,"Thu, Feb 15, 1990",,Box Score,,Seattle SuperSonics,L,,92,103,12,37,L 12,9304,,
50,"Sat, Feb 17, 1990",,Box Score,,Denver Nuggets,L,,117,126,12,38,L 13,15008,,
51,"Tue, Feb 20, 1990",,Box Score,@,Milwaukee Bucks,L,,102,110,12,39,L 14,14065,,
52,"Wed, Feb 21, 1990",,Box Score,,Minnesota Timberwolves,W,,95,93,13,39,W 1,8219,,
53,"Fri, Feb 23, 1990",,Box Score,,Houston Rockets,L,,115,125,13,40,L 1,14437,,
54,"Sun, Feb 25, 1990",,Box Score,,Chicago Bulls,L,OT,106,107,13,41,L 2,20049,,
55,"Tue, Feb 27, 1990",,Box Score,@,Indiana Pacers,L,,113,118,13,42,L 3,8872,,
56,"Fri, Mar 2, 1990",,Box Score,@,Chicago Bulls,L,,91,112,13,43,L 4,19077,,
57,"Sat, Mar 3, 1990",,Box Score,,Atlanta Hawks,W,,114,109,14,43,W 1,19302,,
58,"Mon, Mar 5, 1990",,Box Score,,Sacramento Kings,W,,128,111,15,43,W 2,7860,,
59,"Wed, Mar 7, 1990",,Box Score,,Los Angeles Clippers,L,,115,119,15,44,L 1,7985,,
60,"Fri, Mar 9, 1990",,Box Score,,Detroit Pistons,L,,95,99,15,45,L 2,18702,,
G,Date,,,,Opponent,,,Tm,Opp,W,L,Streak,Attend.,LOG,Notes
61,"Sat, Mar 10, 1990",,Box Score,@,New York Knicks,L,,91,110,15,46,L 3,18212,,
62,"Mon, Mar 12, 1990",,Box Score,,Milwaukee Bucks,L,,104,109,15,47,L 4,7146,,
63,"Fri, Mar 16, 1990",,Box Score,@,Philadelphia 76ers,L,,110,119,15,48,L 5,13896,,
64,"Sun, Mar 18, 1990",,Box Score,@,Boston Celtics,L,,106,122,15,49,L 6,14890,2:04,
65,"Mon, Mar 19, 1990",,Box Score,,Philadelphia 76ers,L,,94,108,15,50,L 7,12601,,
66,"Wed, Mar 21, 1990",,Box Score,@,Washington Bullets,L,,106,136,15,51,L 8,5843,,
67,"Fri, Mar 23, 1990",,Box Score,@,Indiana Pacers,L,,109,125,15,52,L 9,10939,,
68,"Sat, Mar 24, 1990",,Box Score,@,Cleveland Cavaliers,L,,108,115,15,53,L 10,19226,,
69,"Mon, Mar 26, 1990",,Box Score,@,Charlotte Hornets,L,,83,97,15,54,L 11,23901,,
70,"Wed, Mar 28, 1990",,Box Score,,New York Knicks,W,,106,101,16,54,W 1,18438,,
71,"Fri, Mar 30, 1990",,Box Score,,Phoenix Suns,L,,119,126,16,55,L 1,13328,,
72,"Sun, Apr 1, 1990",,Box Score,,Washington Bullets,L,,97,105,16,56,L 2,10199,,
73,"Wed, Apr 4, 1990",,Box Score,@,Boston Celtics,L,,106,125,16,57,L 3,14890,1:52,
74,"Fri, Apr 6, 1990",,Box Score,,Golden State Warriors,L,,117,123,16,58,L 4,14233,,
75,"Sun, Apr 8, 1990",,Box Score,,Miami Heat,W,,102,101,17,58,W 1,7821,,
76,"Tue, Apr 10, 1990",,Box Score,,Boston Celtics,L,,96,112,17,59,L 1,17515,1:53,
77,"Wed, Apr 11, 1990",,Box Score,@,Detroit Pistons,L,,93,98,17,60,L 2,21454,,
78,"Sat, Apr 14, 1990",,Box Score,,Indiana Pacers,L,,113,124,17,61,L 3,9236,,
79,"Tue, Apr 17, 1990",,Box Score,@,Atlanta Hawks,L,,95,118,17,62,L 4,11008,,
80,"Wed, Apr 18, 1990",,Box Score,,Cleveland Cavaliers,L,,93,100,17,63,L 5,11985,,
G,Date,,,,Opponent,,,Tm,Opp,W,L,Streak,Attend.,LOG,Notes
81,"Sat, Apr 21, 1990",,Box Score,@,Milwaukee Bucks,L,,95,96,17,64,L 6,16121,,
82,"Sun, Apr 22, 1990",,Box Score,,Orlando Magic,L,,102,110,17,65,L 7,12248,,
