No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
25,Bill Cartwright,C,7-1,245,"July 30, 1957",us US,R,San Francisco
35,Jim Cleamons,PG,6-3,185,"September 13, 1949",us US,8,Ohio State
45,Hollis Copeland,SF,6-6,180,"December 20, 1955",us US,R,Rutgers University
42,Larry Demic,PF,6-9,225,"June 27, 1957",us US,R,Arizona
34,Mike Glenn,SG,6-2,175,"September 10, 1955",us US,2,Southern Illinois
23,Geoff Huston,PG,6-2,175,"November 8, 1957",us US,R,Texas Tech
43,Toby Knight,SF,6-9,210,"May 3, 1955",us US,2,Notre Dame
50,Joe Meriweather,PF,6-10,215,"October 26, 1953",us US,4,Southern Illinois
15,Earl Monroe,SG,6-3,185,"November 21, 1944",us US,12,Winston-Salem State
20,Michael Ray Richardson,SG,6-5,189,"April 11, 1955",us US,1,Montana
40,Marvin Webster,C,7-1,225,"April 13, 1952",us US,4,Morgan State University
13,Ray Williams,PG,6-3,188,"October 14, 1954",us US,2,Minnesota
33,Sly Williams,SF,6-7,210,"January 26, 1958",us US,R,Rhode Island
