No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
14,Henry Bibby,PG,6-1,185,"November 24, 1949",us US,7,UCLA
10,Maurice Cheeks,PG,6-1,180,"September 8, 1956",us US,1,West Texas A&M University
20,Doug Collins,SG,6-6,180,"July 28, 1951",us US,6,Illinois State
53,Darryl Dawkins,C,6-11,251,"January 11, 1957",us US,4,
6,Julius Erving,SF,6-7,210,"February 22, 1950",us US,8,UMass
9,Lionel Hollins,SG,6-3,185,"October 19, 1953",us US,4,"Dixie State (UT), Arizona State"
24,Bobby Jones,PF,6-9,210,"December 18, 1951",us US,5,UNC
11,Caldwell Jones,C,6-11,217,"August 4, 1950",us US,6,Albany State University
50,Steve Mix,SF,6-7,215,"December 30, 1947",us US,9,Toledo
22,Eric Money,PG,6-0,170,"February 6, 1955",us US,5,Arizona
4,Clint Richardson,SG,6-3,195,"August 7, 1956",us US,R,Seattle University
30,Al Skinner,SG,6-3,190,"June 16, 1952",us US,5,UMass
34,Jim Spanarkel,SG,6-5,190,"June 28, 1957",us US,R,Duke
3,Bernard Toone,PF,6-9,210,"July 14, 1956",us US,R,Marquette
