Rk,Player,Age,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Julius Erving,29,SF,18,694,8.6,17.5,0.488,0.1,0.5,0.222,8.5,17.1,0.495,0.491,5.6,7.1,0.794,1.6,5.4,7.1,4.1,1.9,1.9,2.9,2.9,22.8,
2,Maurice Cheeks,23,PG,18,675,4.7,9.3,0.511,0.1,0.3,0.2,4.7,9.0,0.521,0.514,1.5,2.2,0.707,1.2,2.8,3.9,5.9,2.4,0.2,2.4,2.3,11.1,
3,Caldwell Jones,29,C,18,639,3.3,7.3,0.45,0.0,0.2,0.0,3.3,7.1,0.46,0.45,2.4,2.9,0.808,2.8,7.6,10.4,1.9,0.7,2.1,2.1,4.2,8.9,
4,Lionel Hollins,26,SG,18,618,5.7,13.6,0.416,0.0,0.6,0.0,5.7,13.0,0.435,0.416,3.1,4.0,0.794,1.0,3.1,4.1,6.6,1.6,0.2,2.7,2.9,14.4,
5,Darryl Dawkins,23,C,18,607,7.5,14.1,0.529,0.0,0.2,0.0,7.5,13.9,0.536,0.529,3.6,5.5,0.645,2.6,5.5,8.1,2.0,0.8,2.5,2.7,4.4,18.5,
6,Bobby Jones,28,PF,18,470,6.9,13.2,0.523,0.0,0.1,0.0,6.9,13.1,0.526,0.523,4.1,4.7,0.855,2.2,4.4,6.6,2.4,1.6,2.5,1.8,4.3,17.8,
7,Henry Bibby,30,PG,18,400,4.1,11.2,0.363,0.5,1.2,0.385,3.6,10.0,0.36,0.383,3.6,4.5,0.8,1.4,2.6,4.0,4.7,0.6,0.0,2.4,3.2,12.2,
8,Steve Mix,32,SF,17,200,7.9,17.3,0.458,0.0,0.0,,7.9,17.3,0.458,0.458,4.5,5.0,0.893,1.8,3.8,5.6,2.3,1.4,0.9,2.7,4.0,20.3,
9,Jim Spanarkel,22,SG,5,8,0.0,9.0,0.0,0.0,0.0,,0.0,9.0,0.0,0.0,9.0,9.0,1.0,0.0,4.5,4.5,4.5,0.0,0.0,0.0,4.5,9.0,
10,Bernard Toone,23,PF,4,6,0.0,24.0,0.0,0.0,6.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,,0.0,6.0,6.0,6.0,0.0,0.0,0.0,6.0,0.0,
11,Clint Richardson,23,SG,3,3,12.0,36.0,0.333,0.0,24.0,0.0,12.0,12.0,1.0,0.333,0.0,0.0,,0.0,0.0,0.0,0.0,12.0,0.0,12.0,0.0,24.0,
