G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Opponent,Unnamed: 6,Unnamed: 7,Tm,Opp,W,L,Streak,Attend.,LOG,Notes
1,"Thu, Apr 26, 1990",,Box Score,,Cleveland Cavaliers,W,,111,106,1,0,W 1,15319,2:05,
2,"Sun, Apr 29, 1990",,Box Score,,Cleveland Cavaliers,W,,107,101,2,0,W 2,18168,2:04,
3,"Tue, May 1, 1990",,Box Score,@,Cleveland Cavaliers,L,,95,122,2,1,L 1,16317,2:04,
4,"Thu, May 3, 1990",,Box Score,@,Cleveland Cavaliers,L,,96,108,2,2,L 2,17106,2:04,
5,"Sat, May 5, 1990",,Box Score,,Cleveland Cavaliers,W,,113,97,3,2,W 1,18168,2:21,
G,Date,,,,Opponent,,,Tm,Opp,W,L,Streak,Attend.,LOG,Notes
6,"Mon, May 7, 1990",,Box Score,@,Chicago Bulls,L,,85,96,3,3,L 1,18676,2:06,
7,"Wed, May 9, 1990",,Box Score,@,Chicago Bulls,L,,96,101,3,4,L 2,18676,2:02,
8,"Fri, May 11, 1990",,Box Score,,Chicago Bulls,W,,118,112,4,4,W 1,18168,2:27,
9,"Sun, May 13, 1990",,Box Score,,Chicago Bulls,L,,101,111,4,5,L 1,18168,2:23,
10,"Wed, May 16, 1990",,Box Score,@,Chicago Bulls,L,,99,117,4,6,L 2,18676,2:11,
