No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
33,Alvan Adams,C,6-9,210,"July 19, 1954",us US,4,Oklahoma
23,Mike Bratz,PG,6-2,185,"October 17, 1955",us US,2,Stanford
10,Don Buse,PG,6-4,190,"August 10, 1950",us US,7,University of Evansville
45,Jeff Cook,PF,6-10,215,"October 21, 1956",us US,R,Idaho State University
6,Walter Davis,SF,6-6,193,"September 9, 1954",us US,2,UNC
24,Gar Heard,PF,6-6,219,"May 3, 1948",us US,9,Oklahoma
"12, 22",Johnny High,PG,6-3,185,"April 25, 1957",us US,R,Nevada
53,Rich Kelley,C,7-0,235,"March 23, 1953",us US,4,Stanford
50,Joel Kramer,C,6-7,203,"November 30, 1955",us US,1,San Diego State
21,Truck Robinson,PF,6-7,225,"October 4, 1951",us US,5,Tennessee State
14,Alvin Scott,SF,6-7,185,"September 14, 1955",us US,2,Oral Roberts
44,Paul Westphal,SG,6-4,195,"November 30, 1950",us US,7,USC
