Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Truck Robinson,28,PF,82,82.0,2710,7.2,14.1,0.512,0.0,0.0,,7.2,14.1,0.512,0.512,4.3,6.5,0.667,2.8,7.4,10.2,1.9,0.8,0.8,3.3,3.5,18.8,
2,Paul Westphal,29,SG,82,82.0,2665,9.3,17.8,0.525,0.4,1.3,0.28,9.0,16.5,0.544,0.535,5.2,6.0,0.862,0.6,1.9,2.5,5.6,1.6,0.5,2.8,2.2,24.2,"AS,NBA1"
3,Don Buse,29,PG,81,,2499,3.8,8.5,0.443,0.3,1.1,0.241,3.5,7.3,0.475,0.459,1.2,1.8,0.664,1.0,2.3,3.4,4.6,1.9,0.1,1.3,1.6,9.0,DEF1
4,Walter Davis,25,SF,75,,2309,10.2,18.2,0.563,0.0,0.1,0.0,10.2,18.1,0.565,0.563,4.7,5.7,0.819,1.2,3.1,4.2,5.3,1.8,0.3,3.8,3.1,25.1,AS
5,Alvan Adams,25,C,75,,2168,7.7,14.5,0.531,0.0,0.0,0.0,7.7,14.5,0.533,0.531,3.1,3.9,0.797,2.6,7.5,10.1,5.3,1.8,0.9,3.6,3.9,18.6,
6,Mike Bratz,24,PG,82,,1589,6.1,15.6,0.392,0.5,1.9,0.244,5.6,13.6,0.413,0.407,3.2,3.7,0.87,1.1,2.7,3.8,5.1,2.1,0.2,3.1,3.7,15.9,
7,Gar Heard,31,PF,82,,1403,4.4,10.5,0.417,0.0,0.1,0.0,4.4,10.5,0.419,0.417,1.6,2.2,0.744,3.0,6.7,9.8,2.5,2.2,1.3,2.3,4.5,10.4,
8,Alvin Scott,24,SF,79,,1303,3.5,8.3,0.422,0.0,0.1,0.333,3.5,8.2,0.423,0.424,2.6,3.4,0.779,2.5,3.8,6.3,2.7,1.3,1.5,2.5,2.8,9.7,
9,Johnny High,22,PG,82,,1121,4.6,10.4,0.446,0.0,0.2,0.143,4.6,10.1,0.453,0.447,3.9,5.7,0.674,2.2,3.3,5.6,3.8,2.3,0.5,4.0,5.5,13.1,
10,Jeff Cook,23,PF,66,,904,5.1,11.0,0.469,0.0,0.1,0.0,5.1,10.8,0.474,0.469,4.1,5.1,0.806,3.6,6.0,9.6,3.3,1.1,0.7,2.8,4.1,14.4,
11,Joel Kramer,24,C,54,,711,3.4,7.2,0.469,0.0,0.1,0.0,3.4,7.2,0.472,0.469,2.8,3.5,0.8,2.5,5.2,7.6,3.8,1.3,0.3,2.6,5.3,9.6,
12,Rich Kelley,26,C,23,,373,4.2,8.2,0.506,0.0,0.0,,4.2,8.2,0.506,0.506,4.5,5.8,0.783,4.2,7.1,11.4,4.8,2.7,1.6,4.4,5.6,12.8,
