G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Opponent,Unnamed: 6,Unnamed: 7,Tm,Opp,W,L,Streak,Attend.,LOG,Notes
1,"Fri, Apr 27, 1990",,Box Score,@,Utah Jazz,L,,96,113,0,1,L 1,12616,2:02,
2,"Sun, Apr 29, 1990",,Box Score,@,Utah Jazz,W,,105,87,1,1,W 1,12616,2:02,
3,"Wed, May 2, 1990",,Box Score,,Utah Jazz,W,,120,105,2,1,W 2,14487,2:19,
4,"Fri, May 4, 1990",,Box Score,,Utah Jazz,L,,94,105,2,2,L 1,14487,1:59,
5,"Sun, May 6, 1990",,Box Score,@,Utah Jazz,W,,104,102,3,2,W 1,12616,2:37,
G,Date,,,,Opponent,,,Tm,Opp,W,L,Streak,Attend.,LOG,Notes
6,"Tue, May 8, 1990",,Box Score,@,Los Angeles Lakers,W,,104,102,4,2,W 2,17506,2:13,
7,"Thu, May 10, 1990",,Box Score,@,Los Angeles Lakers,L,,100,124,4,3,L 1,17505,2:01,
8,"Sat, May 12, 1990",,Box Score,,Los Angeles Lakers,W,,117,103,5,3,W 1,14487,2:20,
9,"Sun, May 13, 1990",,Box Score,,Los Angeles Lakers,W,,114,101,6,3,W 2,14487,2:32,
10,"Tue, May 15, 1990",,Box Score,@,Los Angeles Lakers,W,,106,103,7,3,W 3,17505,2:21,
G,Date,,,,Opponent,,,Tm,Opp,W,L,Streak,Attend.,LOG,Notes
11,"Mon, May 21, 1990",,Box Score,@,Portland Trail Blazers,L,,98,100,7,4,L 1,12884,2:11,
12,"Wed, May 23, 1990",,Box Score,@,Portland Trail Blazers,L,,107,108,7,5,L 2,12884,2:34,
13,"Fri, May 25, 1990",,Box Score,,Portland Trail Blazers,W,,123,89,8,5,W 1,14487,2:14,
14,"Sun, May 27, 1990",,Box Score,,Portland Trail Blazers,W,,119,107,9,5,W 2,14487,2:13,
15,"Tue, May 29, 1990",,Box Score,@,Portland Trail Blazers,L,,114,120,9,6,L 1,12884,2:33,
16,"Thu, May 31, 1990",,Box Score,,Portland Trail Blazers,L,,109,112,9,7,L 2,14487,2:40,
