No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
12,Billy Ray Bates,SG,6-4,210,"May 31, 1956",us US,R,Kentucky State University
52,Jim Brewer,PF,6-9,210,"December 3, 1951",us US,6,Minnesota
10,Ron Brewer,SG,6-4,180,"July 16, 1955",us US,1,"University of Arkansas-Fort Smith, Arkansas"
23,T.R. Dunn,SG,6-4,192,"February 1, 1955",us US,2,Alabama
30,Bob Gross,SF,6-6,200,"August 3, 1953",us US,4,"Seattle University, Cal State Long Beach"
14,Lionel Hollins,PG,6-3,185,"October 19, 1953",us US,4,"Dixie State (UT), Arizona State"
11,Abdul Jeelani,SF,6-8,210,"February 10, 1954",us US,R,University of Wisconsin-Parkside
44,Kevin Kunnert,C,7-0,230,"November 11, 1951",us US,6,Iowa
20,Maurice Lucas,PF,6-9,215,"February 18, 1952",us US,5,Marquette
33,Calvin Natt,SF,6-6,220,"January 8, 1957",us US,R,Louisiana-Monroe
25,Tom Owens,C,6-10,215,"June 28, 1949",us US,8,South Carolina
4,Jim Paxson,SG,6-6,200,"July 9, 1957",us US,R,Dayton
15,Larry Steele,SF,6-5,180,"May 5, 1949",us US,8,Kentucky
13,Dave Twardzik,PG,6-1,175,"September 20, 1950",us US,7,Old Dominion
42,Kermit Washington,PF,6-8,230,"September 17, 1951",us US,6,American University
