Rk,Player,Age,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1.0,Calvin Natt,23.0,SF,3,41.7,7.0,16.0,0.438,0.0,0.7,0.0,7.0,15.3,0.457,0.438,2.0,3.3,0.6,3.0,5.0,8.0,0.7,0.7,0.3,3.3,2.3,16.0,
2.0,Kermit Washington,28.0,PF,3,40.3,4.3,8.7,0.5,0.0,0.3,0.0,4.3,8.3,0.52,0.5,1.7,2.7,0.625,4.0,6.3,10.3,2.0,0.3,1.3,1.3,3.0,10.3,
3.0,Ron Brewer,24.0,SG,3,35.3,8.7,20.3,0.426,0.0,1.0,0.0,8.7,19.3,0.448,0.426,1.7,3.0,0.556,0.3,0.7,1.0,2.0,1.0,0.3,2.3,3.3,19.0,
4.0,Billy Ray Bates,23.0,SG,3,34.7,10.3,19.7,0.525,0.7,2.3,0.286,9.7,17.3,0.558,0.542,3.7,4.7,0.786,0.7,2.7,3.3,4.0,1.7,0.3,5.0,4.3,25.0,
5.0,Tom Owens,30.0,C,3,27.7,4.7,8.7,0.538,0.0,0.0,,4.7,8.7,0.538,0.538,1.7,2.7,0.625,4.3,2.7,7.0,0.7,0.3,0.7,1.7,4.7,11.0,
6.0,Jim Brewer,28.0,PF,3,22.3,3.3,3.3,1.0,0.0,0.0,,3.3,3.3,1.0,1.0,0.3,1.0,0.333,2.0,3.3,5.3,1.0,1.7,0.7,0.3,2.0,7.0,
7.0,Bob Gross,26.0,SF,3,17.0,1.0,3.0,0.333,0.0,0.0,,1.0,3.0,0.333,0.333,2.0,2.0,1.0,0.3,1.0,1.3,1.3,0.3,0.0,1.0,2.7,4.0,
8.0,Jim Paxson,22.0,SG,3,14.7,1.7,5.3,0.313,0.0,0.0,,1.7,5.3,0.313,0.313,2.0,2.0,1.0,0.0,1.3,1.3,1.0,0.7,0.3,0.7,0.7,5.3,
9.0,Dave Twardzik,29.0,PG,2,10.0,0.5,2.0,0.25,0.0,0.0,,0.5,2.0,0.25,0.25,0.0,0.0,,0.5,1.5,2.0,1.0,1.0,0.0,1.5,1.0,1.0,
10.0,T.R. Dunn,24.0,SG,3,8.0,0.7,2.7,0.25,0.0,0.0,,0.7,2.7,0.25,0.25,0.7,0.7,1.0,0.3,1.0,1.3,1.3,0.3,0.0,0.3,1.0,2.0,
,Team Totals,,,3,248.3,42.0,89.0,0.472,0.7,4.3,0.154,41.3,84.7,0.488,0.476,15.7,22.0,0.712,15.3,25.0,40.3,14.7,7.7,4.0,17.0,24.7,100.3,
