Rk,Player,Age,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Ron Brewer,24,SG,82,82.0,2815,7.0,15.1,0.464,0.1,0.4,0.188,6.9,14.7,0.471,0.466,2.4,2.8,0.84,0.7,2.0,2.7,2.8,1.3,0.6,2.1,2.0,16.4,
2,Kermit Washington,28,PF,80,,2657,5.7,10.3,0.553,0.0,0.0,0.0,5.7,10.3,0.555,0.553,3.1,4.9,0.642,4.4,7.0,11.4,2.3,1.0,1.8,2.3,4.2,14.5,"AS,DEF2"
3,Tom Owens,30,C,76,,2337,8.0,15.5,0.514,0.0,0.0,0.5,8.0,15.5,0.514,0.514,3.3,4.4,0.753,2.9,5.9,8.8,3.0,0.7,0.8,2.7,4.2,19.3,
4,T.R. Dunn,24,SG,82,,1841,4.7,10.8,0.436,0.0,0.1,0.0,4.7,10.7,0.438,0.436,1.6,2.2,0.757,2.6,3.8,6.3,2.9,2.0,0.6,1.8,2.8,11.0,
5,Dave Twardzik,29,PG,67,,1594,4.1,8.9,0.464,0.1,0.2,0.571,4.0,8.7,0.463,0.47,4.4,5.7,0.782,1.2,2.3,3.5,6.2,1.7,0.0,3.0,3.4,12.8,
6,Bob Gross,26,SF,62,,1581,5.0,10.7,0.468,0.0,0.2,0.1,5.0,10.5,0.476,0.469,2.2,2.6,0.833,1.9,3.8,5.7,5.2,1.4,1.1,3.8,4.1,12.3,
7,Abdul Jeelani,25,SF,77,,1286,8.1,15.8,0.51,0.0,0.2,0.0,8.1,15.6,0.515,0.51,4.5,5.7,0.789,3.2,4.4,7.6,2.7,1.1,1.1,3.3,4.3,20.6,
8,Jim Paxson,22,SG,72,,1270,5.4,13.0,0.411,0.0,0.6,0.045,5.3,12.4,0.429,0.412,1.8,2.6,0.711,0.7,2.4,3.1,4.1,1.4,0.1,2.6,2.7,12.6,
9,Maurice Lucas,27,PF,41,,1176,7.4,16.9,0.44,0.1,0.2,0.4,7.4,16.7,0.441,0.442,3.1,4.2,0.73,2.6,7.3,9.9,3.8,0.7,1.1,4.5,4.3,18.0,
10,Jim Brewer,28,PF,67,,1016,3.2,6.5,0.489,0.0,0.2,0.0,3.2,6.3,0.503,0.489,0.5,1.0,0.483,3.6,5.5,9.1,2.7,1.5,1.5,1.7,4.6,6.9,
11,Calvin Natt,23,SF,25,,811,8.9,18.6,0.48,0.1,0.2,0.5,8.8,18.4,0.48,0.482,4.7,6.2,0.77,2.9,5.0,7.9,2.5,1.1,0.5,2.9,2.5,22.7,
12,Larry Steele,30,SF,16,,446,5.0,11.8,0.425,0.0,0.3,0.0,5.0,11.5,0.437,0.425,1.8,2.2,0.815,1.0,2.6,3.6,5.4,2.0,0.1,2.7,4.3,11.8,
13,Lionel Hollins,26,PG,20,,413,7.1,18.6,0.385,0.1,0.9,0.1,7.1,17.7,0.399,0.387,3.0,4.6,0.642,0.4,1.3,1.7,4.4,2.6,0.1,5.2,3.1,17.3,
14,Kevin Kunnert,28,C,18,,302,6.0,13.6,0.439,0.0,0.0,,6.0,13.6,0.439,0.439,3.1,5.1,0.605,4.4,8.9,13.4,3.5,0.8,2.6,4.9,7.0,15.0,
15,Billy Ray Bates,23,SG,16,,235,11.0,22.4,0.493,1.2,2.9,0.421,9.8,19.5,0.504,0.521,4.3,6.0,0.718,2.0,2.5,4.4,4.7,2.1,0.3,3.1,4.0,27.6,
