G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Opponent,Unnamed: 6,Unnamed: 7,Tm,Opp,W,L,Streak,Attend.,LOG,Notes
1,"Fri, Nov 3, 1989",,Box Score,,Sacramento Kings,W,,114,96,1,0,W 1,12884,,
2,"Sun, Nov 5, 1989",,Box Score,,Minnesota Timberwolves,W,,93,83,2,0,W 2,12884,,
3,"Tue, Nov 7, 1989",,Box Score,@,Houston Rockets,L,,86,109,2,1,L 1,16101,,
4,"Wed, Nov 8, 1989",,Box Score,@,San Antonio Spurs,W,,108,104,3,1,W 1,14278,,
5,"Fri, Nov 10, 1989",,Box Score,@,Dallas Mavericks,W,,99,91,4,1,W 2,17007,,
6,"Sun, Nov 12, 1989",,Box Score,,Washington Bullets,L,,95,104,4,2,L 1,12848,,
7,"Tue, Nov 14, 1989",,Box Score,,New York Knicks,W,,118,117,5,2,W 1,12848,,
8,"Wed, Nov 15, 1989",,Box Score,@,Phoenix Suns,L,,107,109,5,3,L 1,12728,,
9,"Fri, Nov 17, 1989",,Box Score,,Phoenix Suns,W,,110,109,6,3,W 1,12884,,
10,"Sun, Nov 19, 1989",,Box Score,,Seattle SuperSonics,W,,119,109,7,3,W 2,12884,,
11,"Tue, Nov 21, 1989",,Box Score,,Chicago Bulls,W,,121,110,8,3,W 3,12884,,
12,"Fri, Nov 24, 1989",,Box Score,,New Jersey Nets,W,,125,99,9,3,W 4,12884,,
13,"Sun, Nov 26, 1989",,Box Score,,Detroit Pistons,W,,102,82,10,3,W 5,12884,,
14,"Tue, Nov 28, 1989",,Box Score,,Los Angeles Clippers,W,,116,94,11,3,W 6,12884,,
15,"Fri, Dec 1, 1989",,Box Score,,Golden State Warriors,W,,123,110,12,3,W 7,12884,,
16,"Sat, Dec 2, 1989",,Box Score,@,Denver Nuggets,L,,113,146,12,4,L 1,17022,,
17,"Mon, Dec 4, 1989",,Box Score,@,Orlando Magic,W,,121,95,13,4,W 1,14388,,
18,"Tue, Dec 5, 1989",,Box Score,@,Miami Heat,W,,113,107,14,4,W 2,15008,,
19,"Thu, Dec 7, 1989",,Box Score,@,Charlotte Hornets,W,,96,86,15,4,W 3,23901,,
20,"Fri, Dec 8, 1989",,Box Score,@,Atlanta Hawks,L,,120,127,15,5,L 1,11767,,
G,Date,,,,Opponent,,,Tm,Opp,W,L,Streak,Attend.,LOG,Notes
21,"Sun, Dec 10, 1989",,Box Score,@,Milwaukee Bucks,L,,104,107,15,6,L 2,15124,,
22,"Tue, Dec 12, 1989",,Box Score,,Los Angeles Clippers,W,,99,92,16,6,W 1,12884,,
23,"Fri, Dec 15, 1989",,Box Score,,Golden State Warriors,L,,111,116,16,7,L 1,12884,,
24,"Sun, Dec 17, 1989",,Box Score,,Indiana Pacers,W,,121,113,17,7,W 1,12884,,
25,"Tue, Dec 19, 1989",,Box Score,,Houston Rockets,W,,119,100,18,7,W 2,12884,,
26,"Thu, Dec 21, 1989",,Box Score,@,Seattle SuperSonics,L,,102,123,18,8,L 1,13190,,
27,"Tue, Dec 26, 1989",,Box Score,@,Phoenix Suns,L,,105,121,18,9,L 2,14487,,
28,"Thu, Dec 28, 1989",,Box Score,@,Utah Jazz,L,,109,113,18,10,L 3,12616,,
29,"Fri, Dec 29, 1989",,Box Score,@,Dallas Mavericks,W,3OT,144,140,19,10,W 1,17007,,
30,"Tue, Jan 2, 1990",,Box Score,,Miami Heat,W,,119,95,20,10,W 2,12884,,
31,"Fri, Jan 5, 1990",,Box Score,,Utah Jazz,W,,118,89,21,10,W 3,12884,,
32,"Sat, Jan 6, 1990",,Box Score,@,Sacramento Kings,W,,124,121,22,10,W 4,17014,,
33,"Mon, Jan 8, 1990",,Box Score,,Sacramento Kings,W,,108,96,23,10,W 5,12884,,
34,"Thu, Jan 11, 1990",,Box Score,@,Minnesota Timberwolves,W,,82,80,24,10,W 6,22672,,
35,"Sat, Jan 13, 1990",,Box Score,@,Detroit Pistons,L,,106,111,24,11,L 1,21454,,
36,"Sun, Jan 14, 1990",,Box Score,@,New Jersey Nets,W,,99,90,25,11,W 1,11492,,
37,"Tue, Jan 16, 1990",,Box Score,,Denver Nuggets,W,,120,115,26,11,W 2,12884,,
38,"Sun, Jan 21, 1990",,Box Score,,Charlotte Hornets,W,,115,100,27,11,W 3,12884,,
39,"Tue, Jan 23, 1990",,Box Score,,Milwaukee Bucks,W,,119,90,28,11,W 4,12884,,
40,"Fri, Jan 26, 1990",,Box Score,,San Antonio Spurs,W,,109,103,29,11,W 5,12884,,
G,Date,,,,Opponent,,,Tm,Opp,W,L,Streak,Attend.,LOG,Notes
