No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
21,Tim Bassett,PF,6-8,225,"April 1, 1951",us US,6,"College of Southern Idaho, Georgia"
23,Harry Davis,SF,6-7,220,"January 27, 1956",us US,1,Florida State
1,Mike Evans,SG,6-1,170,"April 19, 1955",us US,R,Kansas State
12,Mike Gale,PG,6-4,185,"July 18, 1950",us US,8,Elizabeth City State University
44,George Gervin,SG,6-7,180,"April 27, 1952",us US,7,Eastern Michigan
30,Paul Griffin,C,6-9,205,"January 20, 1954",us US,3,Western Michigan
35,Larry Kenon,PF,6-9,205,"December 13, 1952",us US,6,"Amarillo College, Memphis"
21,Irv Kiffin,SF,6-9,225,"August 8, 1951",us US,R,Oklahoma Baptist University
40,Sylvester Norris,C,6-11,220,"February 18, 1957",us US,R,Jackson State University
53,Mark Olberding,SF,6-8,225,"April 21, 1956",us US,4,Minnesota
5,Billy Paultz,C,6-11,235,"July 30, 1948",us US,9,"Cameron University, St. John's"
54,Wiley Peck,SF,6-7,220,"September 15, 1957",us US,R,Mississippi State
31,Kevin Restani,SF,6-9,225,"December 23, 1951",us US,5,San Francisco
34,John Shumate,PF,6-9,235,"April 6, 1952",us US,3,Notre Dame
13,James Silas,PG,6-1,180,"February 11, 1949",us US,7,Stephen F. Austin
