Rk,Player,Age,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1.0,George Gervin,27.0,SG,3,40.7,12.3,24.7,0.5,0.0,0.7,0.0,12.3,24.0,0.514,0.5,8.7,10.0,0.867,3.0,3.7,6.7,4.0,1.7,1.0,3.0,2.7,33.3,
2.0,Mark Olberding,23.0,SF,3,32.3,4.3,7.7,0.565,0.0,0.0,,4.3,7.7,0.565,0.565,1.0,1.3,0.75,1.7,5.7,7.3,3.7,0.7,0.3,1.0,4.7,9.7,
3.0,James Silas,30.0,PG,3,30.0,5.3,12.0,0.444,0.0,0.0,,5.3,12.0,0.444,0.444,3.7,3.7,1.0,0.3,2.0,2.3,3.0,2.0,0.3,1.7,2.7,14.3,
4.0,Larry Kenon,27.0,PF,3,27.0,3.3,11.3,0.294,0.0,0.0,,3.3,11.3,0.294,0.294,2.0,3.7,0.545,2.0,2.3,4.3,1.3,0.0,0.0,1.7,2.0,8.7,
5.0,John Shumate,27.0,PF,3,26.0,3.0,6.7,0.45,0.0,0.0,,3.0,6.7,0.45,0.45,1.0,1.0,1.0,2.3,2.0,4.3,1.7,1.3,1.3,1.7,3.0,7.0,
6.0,Kevin Restani,28.0,SF,3,24.7,5.7,9.3,0.607,0.0,0.3,0.0,5.7,9.0,0.63,0.607,1.3,3.0,0.444,2.7,2.7,5.3,1.0,0.0,0.3,0.7,2.7,12.7,
7.0,Mike Gale,29.0,PG,3,23.0,2.7,6.7,0.4,0.3,1.3,0.25,2.3,5.3,0.438,0.425,1.3,2.3,0.571,0.3,1.7,2.0,5.3,1.7,0.0,1.0,2.0,7.0,
8.0,Paul Griffin,26.0,C,3,23.0,2.3,4.7,0.5,0.0,0.0,,2.3,4.7,0.5,0.5,2.0,2.0,1.0,1.0,4.0,5.0,2.0,0.0,0.3,2.3,3.0,6.7,
9.0,Tim Bassett,28.0,PF,3,6.3,0.3,0.7,0.5,0.0,0.0,,0.3,0.7,0.5,0.5,0.0,0.0,,0.3,0.0,0.3,0.0,0.0,0.0,0.3,2.3,0.7,
10.0,Mike Evans,24.0,SG,2,6.0,1.5,4.0,0.375,1.0,2.0,0.5,0.5,2.0,0.25,0.5,1.5,2.0,0.75,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,5.5,
11.0,Wiley Peck,22.0,SF,2,4.5,0.0,1.5,0.0,0.0,0.0,,0.0,1.5,0.0,0.0,0.0,0.0,,0.0,1.5,1.5,0.0,0.0,0.5,0.0,0.5,0.0,
,Team Totals,,,3,240.0,40.3,87.3,0.462,1.0,3.7,0.273,39.3,83.7,0.47,0.468,22.0,28.3,0.776,13.7,25.7,39.3,22.7,7.3,4.0,13.7,26.0,103.7,
