G,Date,Unnamed: 2,Unnamed: 3,Unnamed: 4,Opponent,Unnamed: 6,Unnamed: 7,Tm,Opp,W,L,Streak,Attend.,LOG,Notes
1,"Sat, Nov 4, 1989",,Box Score,,Los Angeles Lakers,W,,106,98,1,0,W 1,15868,,
2,"Wed, Nov 8, 1989",,Box Score,,Portland Trail Blazers,L,,104,108,1,1,L 1,14278,,
3,"Fri, Nov 10, 1989",,Box Score,@,Utah Jazz,L,,92,106,1,2,L 2,12616,,
4,"Sat, Nov 11, 1989",,Box Score,,Denver Nuggets,W,,122,108,2,2,W 1,15198,,
5,"Tue, Nov 14, 1989",,Box Score,@,Milwaukee Bucks,L,,97,108,2,3,L 1,14120,,
6,"Wed, Nov 15, 1989",,Box Score,@,Minnesota Timberwolves,W,,86,76,3,3,W 1,20382,,
7,"Fri, Nov 17, 1989",,Box Score,@,Philadelphia 76ers,L,,101,108,3,4,L 1,18168,,
8,"Sat, Nov 18, 1989",,Box Score,@,New Jersey Nets,W,,110,95,4,4,W 1,13269,,
9,"Tue, Nov 21, 1989",,Box Score,,Phoenix Suns,W,,107,98,5,4,W 2,13726,,
10,"Fri, Nov 24, 1989",,Box Score,@,Los Angeles Clippers,W,,90,89,6,4,W 3,13916,,
11,"Sun, Nov 26, 1989",,Box Score,@,Los Angeles Lakers,L,,112,132,6,5,L 1,17505,,
12,"Tue, Nov 28, 1989",,Box Score,,Seattle SuperSonics,W,,117,104,7,5,W 1,12115,,
13,"Thu, Nov 30, 1989",,Box Score,,Dallas Mavericks,W,,93,89,8,5,W 2,12110,,
14,"Sat, Dec 2, 1989",,Box Score,,Charlotte Hornets,W,,118,110,9,5,W 3,13371,,
15,"Wed, Dec 6, 1989",,Box Score,,Golden State Warriors,W,,121,119,10,5,W 4,10588,,
16,"Fri, Dec 8, 1989",,Box Score,@,Dallas Mavericks,W,,99,93,11,5,W 5,17007,,
17,"Sat, Dec 9, 1989",,Box Score,,New Jersey Nets,W,,109,92,12,5,W 6,14930,,
18,"Tue, Dec 12, 1989",,Box Score,@,Atlanta Hawks,L,,94,102,12,6,L 1,12760,,
19,"Thu, Dec 14, 1989",,Box Score,,Houston Rockets,W,,104,100,13,6,W 1,15353,,
20,"Sat, Dec 16, 1989",,Box Score,,Orlando Magic,W,,125,116,14,6,W 2,12159,,
G,Date,,,,Opponent,,,Tm,Opp,W,L,Streak,Attend.,LOG,Notes
21,"Wed, Dec 20, 1989",,Box Score,,Sacramento Kings,W,,103,100,15,6,W 3,12457,,
22,"Fri, Dec 22, 1989",,Box Score,@,Phoenix Suns,W,,119,115,16,6,W 4,14487,,
23,"Sat, Dec 23, 1989",,Box Score,,Utah Jazz,W,,115,98,17,6,W 5,15910,,
24,"Tue, Dec 26, 1989",,Box Score,@,Charlotte Hornets,W,,107,82,18,6,W 6,23901,,
25,"Wed, Dec 27, 1989",,Box Score,@,Washington Bullets,W,,107,97,19,6,W 7,13522,,
26,"Fri, Dec 29, 1989",,Box Score,@,Chicago Bulls,L,,97,101,19,7,L 1,18676,,
27,"Wed, Jan 3, 1990",,Box Score,,Philadelphia 76ers,W,,103,94,20,7,W 1,15543,,
28,"Sat, Jan 6, 1990",,Box Score,,Minnesota Timberwolves,W,,109,96,21,7,W 2,,,
29,"Mon, Jan 8, 1990",,Box Score,@,Orlando Magic,L,,102,111,21,8,L 1,15077,,
30,"Tue, Jan 9, 1990",,Box Score,@,Miami Heat,W,,107,102,22,8,W 1,15008,,
31,"Fri, Jan 12, 1990",,Box Score,@,Boston Celtics,W,,97,90,23,8,W 2,14890,2:03,
32,"Sat, Jan 13, 1990",,Box Score,@,New York Knicks,L,,101,107,23,9,L 1,18212,,
33,"Mon, Jan 15, 1990",,Box Score,@,Cleveland Cavaliers,L,,89,92,23,10,L 2,17657,,
34,"Wed, Jan 17, 1990",,Box Score,,New York Knicks,W,,101,97,24,10,W 1,15910,,
35,"Fri, Jan 19, 1990",,Box Score,,Cleveland Cavaliers,W,,104,101,25,10,W 2,15910,,
36,"Sat, Jan 20, 1990",,Box Score,@,Denver Nuggets,L,,99,126,25,11,L 1,15817,,
37,"Mon, Jan 22, 1990",,Box Score,,Washington Bullets,W,,124,115,26,11,W 1,13244,,
38,"Wed, Jan 24, 1990",,Box Score,,Los Angeles Clippers,W,,106,98,27,11,W 2,12801,,
