No.,Player,Pos,Ht,Wt,Birth Date,Birth,Exp,College
24,Ron Boone,SG,6-2,200,"September 6, 1946",us US,11,"Iowa Western Community College, Clarinda Campus, Idaho State University"
33,Tom Boswell,PF,6-9,220,"October 2, 1953",us US,4,"South Carolina State, South Carolina"
44,Allan Bristow,SF,6-7,210,"August 23, 1951",us US,6,Virginia Tech
"32, 52",John Brown,SF,6-7,220,"December 14, 1951",de DE,6,Missouri
33,Mack Calvin,PG,6-0,165,"July 27, 1947",us US,9,"Long Beach City College, USC"
4,Adrian Dantley,SF,6-5,208,"February 28, 1955",us US,3,Notre Dame
12,Brad Davis,PG,6-3,180,"December 17, 1955",us US,2,Maryland
31,Paul Dawkins,SF,6-5,190,"June 10, 1957",us US,R,Northern Illinois
33,Greg Deane,SG,6-4,190,"December 6, 1957",us US,R,Utah
25,Terry Furlow,SG,6-4,190,"October 18, 1954",us US,3,Michigan State
40,John Gianelli,C,6-10,220,"June 10, 1950",us US,7,University of the Pacific
11,James Hardy,PF,6-8,220,"December 1, 1956",us US,1,San Francisco
51,Carl Kilpatrick,C,6-10,230,"May 16, 1956",us US,R,Louisiana-Monroe
22,Bernard King,SF,6-7,205,"December 4, 1956",us US,2,Tennessee
7,Pete Maravich,SG,6-5,197,"June 22, 1947",us US,9,LSU
50,Ben Poquette,C,6-9,235,"May 7, 1955",us US,2,Central Michigan University
5,Robert Smith,PG,5-11,165,"March 10, 1955",us US,2,UNLV
15,Andre Wakefield,SG,6-3,175,"January 11, 1955",us US,1,Loyola Chicago
40,Jerome Whitehead,C,6-10,220,"September 30, 1956",us US,1,Marquette
20,Duck Williams,PG,6-2,180,"August 2, 1956",us US,R,Notre Dame
