Rk,Player,Age,Pos,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
1,Adrian Dantley,24,SF,68,2674,9.8,17.1,0.576,0.0,0.0,0.0,9.8,17.0,0.577,0.576,6.0,7.1,0.842,2.5,4.5,6.9,2.6,1.3,0.2,3.1,2.8,25.6,AS
2,Ben Poquette,24,C,82,2349,4.5,8.7,0.523,0.0,0.0,0.0,4.5,8.6,0.525,0.523,2.1,2.6,0.832,1.9,6.7,8.6,2.0,0.7,2.5,1.6,4.3,11.2,
3,Allan Bristow,28,SF,82,2304,5.9,12.3,0.48,0.0,0.1,0.286,5.9,12.2,0.482,0.482,3.1,3.8,0.811,2.7,5.3,8.0,5.3,1.4,0.1,2.8,3.3,14.9,
4,Ron Boone,33,SG,75,2286,6.2,13.8,0.447,0.3,0.8,0.38,5.9,13.0,0.451,0.458,2.7,3.0,0.894,0.8,2.6,3.4,4.8,1.4,0.0,2.9,3.4,15.3,
5,Duck Williams,23,PG,77,1794,4.7,10.4,0.447,0.0,0.2,0.0,4.7,10.2,0.458,0.447,0.8,1.2,0.7,0.4,1.7,2.1,3.7,2.0,0.2,2.1,3.3,10.2,
6,Terry Furlow,25,SG,55,1718,7.6,16.0,0.476,0.5,1.5,0.315,7.1,14.5,0.493,0.491,2.7,3.0,0.876,1.0,2.2,3.2,4.6,1.1,0.3,2.7,1.7,18.4,
7,James Hardy,23,PF,76,1600,4.1,8.2,0.507,0.0,0.0,0.5,4.1,8.1,0.507,0.508,1.1,1.5,0.773,2.8,6.2,9.0,2.3,1.1,2.0,2.4,4.7,9.5,
8,Tom Boswell,26,PF,61,1555,6.3,11.1,0.573,0.1,0.2,0.5,6.3,10.9,0.574,0.577,3.4,4.7,0.729,2.5,5.1,7.6,2.7,0.6,0.7,3.3,5.0,16.2,
9,Paul Dawkins,22,SF,57,776,6.5,13.9,0.47,0.0,0.2,0.2,6.5,13.7,0.475,0.472,1.5,2.2,0.688,1.9,3.9,5.8,3.6,1.5,0.4,3.5,5.2,14.7,
10,Mack Calvin,32,PG,48,772,4.7,10.6,0.441,0.0,0.5,0.091,4.6,10.1,0.458,0.443,4.9,5.5,0.897,0.6,3.3,3.9,6.2,1.3,0.0,2.7,3.4,14.3,
11,Pete Maravich,32,SG,17,522,8.3,20.3,0.412,0.5,0.8,0.636,7.9,19.5,0.403,0.423,2.8,3.4,0.82,0.5,2.3,2.8,3.7,1.0,0.3,3.1,2.1,20.0,
12,Bernard King,23,SF,19,419,6.1,11.8,0.518,0.0,0.0,,6.1,11.8,0.518,0.518,2.9,5.4,0.54,2.1,5.5,7.6,4.5,0.6,0.3,4.3,5.7,15.1,
13,Jerome Whitehead,23,C,32,328,3.4,7.6,0.449,0.0,0.0,,3.4,7.6,0.449,0.449,0.5,1.9,0.294,3.0,7.7,10.6,2.0,0.8,1.2,3.1,7.1,7.4,
14,John Gianelli,29,C,17,285,2.9,8.3,0.348,0.0,0.0,,2.9,8.3,0.348,0.348,1.1,2.0,0.563,1.8,6.1,7.8,2.1,0.8,0.9,2.8,3.3,6.9,
15,Brad Davis,24,PG,13,225,5.3,9.0,0.589,0.0,0.2,0.0,5.3,8.8,0.6,0.589,1.6,1.9,0.833,0.6,1.8,2.4,7.2,1.6,0.2,1.8,3.4,12.2,
16,Robert Smith,24,PG,6,73,2.5,7.4,0.333,0.0,0.0,,2.5,7.4,0.333,0.333,2.5,2.5,1.0,1.5,0.0,1.5,3.5,2.0,0.0,0.5,1.5,7.4,
17,Greg Deane,22,SG,7,48,1.5,8.2,0.182,0.7,0.7,1.0,0.7,7.5,0.1,0.227,3.7,5.2,0.714,1.5,3.0,4.5,4.5,0.0,0.0,2.3,2.3,7.5,
18,Andre Wakefield,25,SG,8,47,4.6,11.5,0.4,0.0,0.0,,4.6,11.5,0.4,0.4,2.3,2.3,1.0,0.0,3.1,3.1,2.3,0.8,0.0,6.1,10.0,11.5,
19,John Brown,28,SF,4,24,0.0,10.5,0.0,0.0,0.0,,0.0,10.5,0.0,0.0,6.0,6.0,1.0,7.5,6.0,13.5,6.0,0.0,0.0,7.5,6.0,6.0,
20,Carl Kilpatrick,23,C,2,6,6.0,12.0,0.5,0.0,0.0,,6.0,12.0,0.5,0.5,6.0,12.0,0.5,6.0,18.0,24.0,0.0,0.0,0.0,0.0,6.0,18.0,
